Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Verification_Provider,Verification_URL,Verification_Confidence,Provenance
Reward Design with Language Models,"Minae Kwon, Sang Michael Xie, Kalesha Bullard, Dorsa Sadigh",2023,arXiv (Cornell University),arXiv:2303.00001,Policy|Reward|Exploration|LanguageConditioning|Architecture,"In this work, Reward Design with Language Models uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is reward-shaping RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on Minecraft or game environments tasks, with improvements in success rate, returns, or sample efficiency.","Reward Design with Language Models belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives.",LLM_for_RL,openalex,https://openalex.org/W4322825501,High,papers.csv|pdf_ref
Language Instructed Reinforcement Learning for Human-AI Coordination,"Hengyuan Hu, Dorsa Sadigh",2023,ArXiv,arXiv:2304.07297v2,Policy|Reward|LanguageConditioning|MultiAgent|Architecture,"Language Instructed Reinforcement Learning for Human-AI Coordination inserts a LLM reward module directly into the RL loop. It studies multi-agent RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on multi-agent coordination environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM reward module within multi-agent RL on multi-agent coordination environments tasks, as shown in Language Instructed Reinforcement Learning for Human-AI Coordination. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2304.07297v2,High,papers.csv|pdf_ref
Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling,"Kolby Nottingham, Prithviraj Ammanabrolu, Alane Suhr, Yejin Choi, Hannaneh Hajishirzi, Sameer Singh, Roy Fox",2023,ArXiv,arXiv:2301.12050v2,Policy|Planning|WorldModel|Exploration|Simulation|Architecture,"For Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as model-based RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.",The contribution is directionally in-scope: Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling uses a LLM planner to support RL policy learning and control in robotics manipulation/control.,LLM_for_RL,arxiv,https://arxiv.org/abs/2301.12050v2,High,papers.csv|pdf_ref
LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,"Saaket Agashe, Yue Fan, Anthony Reyna, Xin Eric Wang",2023,ArXiv,arXiv:2310.03903v3,Policy|Planning|Reasoning|MultiAgent|Architecture,"In this work, LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is multi-agent RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on Minecraft or game environments tasks, with improvements in success rate, returns, or sample efficiency.","LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2310.03903v3,High,papers.csv|pdf_ref
Text2Reward: Reward Shaping with Language Models for Reinforcement Learning,"Tianbao Xie, Siheng Zhao, Chen Wu, Yitao Liu, Qian Luo, Victor W. Zhong, Yanchao Yang, Changyuan Yu",2023,arXiv (Cornell University),arXiv:2309.11489,Reward|ToolUse|Simulation|LanguageConditioning|Architecture,"In this work, Text2Reward: Reward Shaping with Language Models for Reinforcement Learning uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is reward-shaping RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on simulation control benchmarks tasks, with improvements in success rate, returns, or sample efficiency.","Text2Reward: Reward Shaping with Language Models for Reinforcement Learning belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives.",LLM_for_RL,openalex,https://openalex.org/W4386977020,High,papers.csv|pdf_ref
Large Language Models as Generalizable Policies for Embodied Tasks,"Andrew Szot, Max Schwarzer, Harsh Agrawal, Bogdan Mazoure, Walter Talbott, Katherine Metcalf, Natalie Mackraz, Devon Hjelm, Alexander Toshev",2023,ArXiv,arXiv:2310.17722v2,Policy|LanguageConditioning|Architecture,"Large Language Models as Generalizable Policies for Embodied Tasks inserts a LLM-guided policy component directly into the RL loop. It studies policy optimization RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM-guided policy component within policy optimization RL on robotics manipulation/control tasks, as shown in Large Language Models as Generalizable Policies for Embodied Tasks. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2310.17722v2,High,papers.csv
RISE: Self-Improving Robot Policy with Compositional World Model,"Jiazhi Yang, Kunyang Lin, Jinwei Li, Wencong Zhang, Tianwei Lin, Longyan Wu, Zhizhong Su, Hao Zhao, Ya-Qin Zhang, Li Chen, Ping Luo, Xiangyu Yue, Hongyang Li",2026,ArXiv,arXiv:2602.11075v1,Policy|WorldModel|Simulation|Architecture,"For RISE: Self-Improving Robot Policy with Compositional World Model, an LLM world model/simulator is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as model-based RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: RISE: Self-Improving Robot Policy with Compositional World Model uses a LLM world model/simulator to support RL policy learning and control in robotics manipulation/control. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.11075v1,High,pdf_ref|targeted_search
World-Gymnast: Training Robots with Reinforcement Learning in a World Model,"Ansh Kumar Sharma, Yixiang Sun, Ninghao Lu, Yunzhe Zhang, Jiarao Liu, Sherry Yang",2026,ArXiv,arXiv:2602.02454v1,Policy|Reward|WorldModel|Simulation|LanguageConditioning|Architecture,"For World-Gymnast: Training Robots with Reinforcement Learning in a World Model, an LLM reward module is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as model-based RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: World-Gymnast: Training Robots with Reinforcement Learning in a World Model uses a LLM reward module to support RL policy learning and control in robotics manipulation/control. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.02454v1,High,pdf_ref|targeted_search
REDSearcher: A Scalable and Cost-Efficient Framework for Long-Horizon Search Agents,"Zheng Chu, Xiao Wang, Jack Hong, Huiming Fan, Yuqi Huang, Yue Yang, Guohai Xu, Chenxiao Zhao, Cheng Xiang, Shengchao Hu, Dongdong Kuang, Ming Liu, Bing Qin, Xing Yu",2026,ArXiv,arXiv:2602.14234v1,Policy|Planning|Reward|ToolUse|Architecture,"In this work, REDSearcher: A Scalable and Cost-Efficient Framework for Long-Horizon Search Agents uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is hierarchical/long-horizon RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/tool-interaction environments tasks, with improvements in success rate, returns, or sample efficiency.","REDSearcher: A Scalable and Cost-Efficient Framework for Long-Horizon Search Agents belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.14234v1,High,pdf_ref|targeted_search
Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,"Jitao Sang, Jinlin Xiao, Jiarun Han, Jilin Chen, Xiaoyi Chen, Shuyu Wei, Yongjie Sun, Yuhang Wang",2025,ArXiv,arXiv:2510.16720v2,Policy|Planning|Exploration|ToolUse|Memory|Reasoning|MultiAgent|Architecture,"Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI inserts a LLM planner directly into the RL loop. It studies multi-agent RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within multi-agent RL on robotics manipulation/control tasks, as shown in Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2510.16720v2,High,pdf_ref|targeted_search
LA-RL: Language Action-guided Reinforcement Learning with Safety Guarantees for Autonomous Highway Driving,"Yiming Shu, Jiahui Xu, Jianmin Tang, R L Gao, Chen Sun",2025,arXiv (Cornell University),arXiv:2512.05686,Policy|Planning|Reward|Exploration|ToolUse|Reasoning|Simulation|Verifier|Architecture,"For LA-RL: Language Action-guided Reinforcement Learning with Safety Guarantees for Autonomous Highway Driving, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as policy optimization RL, making the LLM function part of control, reward, or planning computations. Experiments on web/tool-interaction environments environments indicate stronger task completion behavior than non-LLM baselines.",The contribution is directionally in-scope: LA-RL: Language Action-guided Reinforcement Learning with Safety Guarantees for Autonomous Highway Driving uses a LLM planner to support RL policy learning and control in web/tool-interaction environments.,LLM_for_RL,arxiv,https://arxiv.org/abs/2512.05686,High,pdf_ref|targeted_search
Code as Policies: Language Model Programs for Embodied Control,"Jacky Liang, Wenlong Huang, Fei Xia, Peng Xu, Karol Hausman, Brian Ichter, Pete Florence, Andy Zeng",2023,Unknown venue,10.1109/icra48891.2023.10160591,Policy|CreditAssignment|ToolUse|Reasoning|Simulation|LanguageConditioning|Architecture,"In this work, Code as Policies: Language Model Programs for Embodied Control uses an LLM-guided policy component to shape decisions inside an RL training or deployment cycle. The technical setting is policy optimization RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on robotics manipulation/control tasks, with improvements in success rate, returns, or sample efficiency.","Code as Policies: Language Model Programs for Embodied Control belongs because the language model is embedded in the RL loop as a LLM-guided policy component, not used only for language-only tuning objectives.",LLM_for_RL,openalex,https://openalex.org/W4383097638,High,citation_expand|pdf_ref
Skill Reinforcement Learning and Planning for Open-World Long-Horizon Tasks,"Haoqi Yuan, Chi Zhang, Hongcheng Wang, Feiyang Xie, Penglin Cai, Hao Dong, Zongqing Lu",2023,ArXiv,arXiv:2303.16563v2,Policy|Planning|Reward|Exploration|Simulation|Architecture,"In this work, Skill Reinforcement Learning and Planning for Open-World Long-Horizon Tasks uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is hierarchical/long-horizon RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","Skill Reinforcement Learning and Planning for Open-World Long-Horizon Tasks belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2303.16563v2,High,pdf_ref
Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics,"Jiayang Song, Zhehua Zhou, Jiawei Liu, Chunrong Fang, Zhan Shu, Lei Ma",2023,arXiv (Cornell University),arXiv:2309.06687,Planning|Reward|Reasoning|Simulation|LanguageConditioning|Architecture,"For Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as planning-augmented RL, making the LLM function part of control, reward, or planning computations. Experiments on robotics manipulation/control environments indicate stronger task completion behavior than non-LLM baselines.",The contribution is directionally in-scope: Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics uses a LLM planner to support RL policy learning and control in robotics manipulation/control.,LLM_for_RL,openalex,https://openalex.org/W4386793443,High,papers.csv|pdf_ref
Unleashing the Power of Pre-trained Language Models for Offline Reinforcement Learning,"Ruizhe Shi, Yuyao Liu, Yanjie Ze, Simon S. Du, Huazhe Xu",2023,ArXiv,arXiv:2310.20587v5,Policy|Reward|DatasetGeneration|OfflineRL|Architecture,"In this work, Unleashing the Power of Pre-trained Language Models for Offline Reinforcement Learning uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is offline RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on offline RL benchmarks tasks, with improvements in success rate, returns, or sample efficiency.","Unleashing the Power of Pre-trained Language Models for Offline Reinforcement Learning belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2310.20587v5,High,papers.csv|pdf_ref
Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents,"Yang Deng, Wenxuan Zhang, Wai Lam, See-Kiong Ng, Tat-Seng Chua",2023,ArXiv,arXiv:2311.00262v2,Policy|Planning|Simulation|LanguageConditioning|Architecture,"Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents inserts a LLM planner directly into the RL loop. It studies policy optimization RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on MuJoCo/simulator benchmarks, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within policy optimization RL on MuJoCo/simulator benchmarks tasks, as shown in Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2311.00262v2,High,papers.csv|pdf_ref
Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents,"Zihao Zhou, Bin Hu, Chenyang Zhao, Pu Zhang, Bin Liu",2023,ArXiv,arXiv:2311.13373v6,Policy|Exploration|LanguageConditioning|Architecture,"In this work, Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents uses an LLM-guided policy component to shape decisions inside an RL training or deployment cycle. The technical setting is policy optimization RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on robotics manipulation/control tasks, with improvements in success rate, returns, or sample efficiency.","Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents belongs because the language model is embedded in the RL loop as a LLM-guided policy component, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2311.13373v6,High,papers.csv|pdf_ref
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances","Michael J. Ahn, Anthony Brohan, Noah Brown, Yevgen Chebotar, Omar Andrés Carmona Cortes, Byron David, Chelsea Finn, Keerthana Gopalakrishnan, Karol Hausman, Alex Herzog, Daniel W. C. Ho, Jasmine Hsu, Julian Ibarz, Brian Ichter, Alex Irpan, Eric B. Jang, Rosario Jauregui Ruano, Kyle Jeffrey, Sally Jesmonth, Nikhil J Joshi, Ryan R. Julian, Dmitry Kalashnikov, Yuheng Kuang, Kuang-Huei Lee, Sergey Levine, Yao Lu, Linda Luu, Carolina Parada, Peter Pastor, Jornell Quiambao, Kanishka Rao, Jarek Rettinghouse, Diego Reyes, Pierre Sermanet, Nicolas Sievers, Clayton Tan, Alexander Toshev, Vincent Vanhoucke, Fei Xia, Ted Xiao, Peng Xu, Sichun Xu, Mengyuan Yan, Yan, Mengyuan, Zeng, Andy",2022,arXiv (Cornell University),arXiv:2204.01691,Policy|Planning|Reward|Simulation|LanguageConditioning|Architecture,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances inserts a LLM planner directly into the RL loop. It studies policy optimization RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within policy optimization RL on robotics manipulation/control tasks, as shown in Do As I Can, Not As I Say: Grounding Language in Robotic Affordances.",LLM_for_RL,openalex,https://openalex.org/W4224912544,High,pdf_ref
Intelligent Agents for Data Exploration,Sihem Amer-Yahia,2024,Proceedings of the VLDB Endowment,10.14778/3685800.3685913,Policy|Planning|Reward|Exploration|DatasetGeneration|Architecture,"In this work, Intelligent Agents for Data Exploration uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is planning-augmented RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on interactive control benchmarks tasks, with improvements in success rate, returns, or sample efficiency.","Intelligent Agents for Data Exploration belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives.",LLM_for_RL,openalex,https://openalex.org/W4404181176,High,citation_expand
ScribeAgent: Towards Specialized Web Agents Using Production-Scale Workflow Data,"Jun-Hong Shen, Atishay Jain, Zhiguang Xiao, Ishan Amlekar, Mouad Hadji, Aaron Podolny, Ameet Talwalkar",2024,Unknown venue,10.32388/8vog0o,Policy|Planning|Exploration|DatasetGeneration|ToolUse|LanguageConditioning|Architecture|AgentTraining,"In this work, ScribeAgent: Towards Specialized Web Agents Using Production-Scale Workflow Data uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is hierarchical/long-horizon RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","ScribeAgent: Towards Specialized Web Agents Using Production-Scale Workflow Data belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4405263848,High,citation_expand
Multimodal Web Navigation with Instruction-Finetuned Foundation Models,"Hiroki Furuta, Kuang-Huei Lee, Ofir Nachum, Yutaka Matsuo, Aleksandra Faust, Shixiang Shane Gu, Izzeddin Gur",2023,ArXiv,arXiv:2305.11854v4,Policy|Planning|Reasoning|LanguageConditioning|Architecture|AgentTraining,"In this work, Multimodal Web Navigation with Instruction-Finetuned Foundation Models uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is tool-interactive RL agent training, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","Multimodal Web Navigation with Instruction-Finetuned Foundation Models belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2305.11854v4,High,targeted_search
Voyager: An Open-Ended Embodied Agent with Large Language Models,"Guanzhi Wang, Yuqi Xie, Yunfan Jiang, Ajay Mandlekar, Chaowei Xiao, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,ArXiv,arXiv:2305.16291v2,Policy|Exploration|ToolUse|Simulation|Curriculum|LanguageConditioning|Architecture,"For Voyager: An Open-Ended Embodied Agent with Large Language Models, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as hierarchical/long-horizon RL, making the LLM function part of control, reward, or planning computations. Experiments on Minecraft or game environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: Voyager: An Open-Ended Embodied Agent with Large Language Models uses a LLM planner to support RL policy learning and control in Minecraft or game environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2305.16291v2,High,papers.csv|targeted_search
"Chasing Progress, Not Perfection: Revisiting Strategies for End-to-End LLM Plan Generation","Sukai Huang, Trevor Cohn, Nir Lipovetzky",2025,Proceedings of the International Conference on Automated Planning and Scheduling,10.1609/icaps.v35i1.36119,Planning|Reward|Reasoning|Verifier|LanguageConditioning|Architecture,"Chasing Progress, Not Perfection: Revisiting Strategies for End-to-End LLM Plan Generation inserts a LLM planner directly into the RL loop. It studies planning-augmented RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on language-conditioned control tasks, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within planning-augmented RL on language-conditioned control tasks tasks, as shown in Chasing Progress, Not Perfection: Revisiting Strategies for End-to-End LLM Plan Generation. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,openalex,https://openalex.org/W4414222903,High,targeted_search
PIGEON: VLM-Driven Object Navigation via Points of Interest Selection,"Cheng Peng, Zhenzhe Zhang, Cheng Chi, Xiaobao Wei, Yanhao Zhang, Heng Wang, Pengwei Wang, Zhongyuan Wang, Jing Liu, Shanghang Zhang",2025,arXiv (Cornell University),arXiv:2511.13207,Planning|Reward|Exploration|Memory|Reasoning|Simulation|Verifier|Architecture,"In this work, PIGEON: VLM-Driven Object Navigation via Points of Interest Selection uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is planning-augmented RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on robotics manipulation/control tasks, with improvements in success rate, returns, or sample efficiency.","PIGEON: VLM-Driven Object Navigation via Points of Interest Selection belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2511.13207,High,targeted_search
Exploring the synergies between transfer in reinforcement learning and procedural content generation,"Müller-Brockhausen, Matthias",2025,Unknown venue,10.60602/1887/4282228,Policy|Reward|Exploration|TreeSearch|Verifier|Curriculum|LanguageConditioning|Architecture,"For Exploring the synergies between transfer in reinforcement learning and procedural content generation, an LLM reward module is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as policy optimization RL, making the LLM function part of control, reward, or planning computations. Experiments on Minecraft or game environments environments indicate stronger task completion behavior than non-LLM baselines.",The contribution is directionally in-scope: Exploring the synergies between transfer in reinforcement learning and procedural content generation uses a LLM reward module to support RL policy learning and control in Minecraft or game environments.,LLM_for_RL,openalex,https://openalex.org/W7114987449,High,targeted_search
Meta-RL Induces Exploration in Language Agents,"Yulun Jiang, Liangze Jiang, Damien Teney, Michael Moor, Maria Brbic",2025,ArXiv,arXiv:2512.16848v1,Policy|Planning|Reward|CreditAssignment|Exploration|Architecture,"In this work, Meta-RL Induces Exploration in Language Agents uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is hierarchical/long-horizon RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","Meta-RL Induces Exploration in Language Agents belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2512.16848v1,High,targeted_search
Process-Supervised Reinforcement Learning for Interactive Multimodal Tool-Use Agents,"Weiting Tan, Xinghua Qu, Ming Tu, Meng Ge, Andy T. Liu, Philipp Koehn, Lu Lu",2025,ArXiv,arXiv:2509.14480v1,Policy|Planning|CreditAssignment|Exploration|ToolUse|Reasoning|Curriculum|Architecture|AgentTraining,"For Process-Supervised Reinforcement Learning for Interactive Multimodal Tool-Use Agents, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as policy optimization RL, making the LLM function part of control, reward, or planning computations. Experiments on web/tool-interaction environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: Process-Supervised Reinforcement Learning for Interactive Multimodal Tool-Use Agents uses a LLM planner to support RL policy learning and control in web/tool-interaction environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2509.14480v1,High,targeted_search
"RoboMIND 2.0: A Multimodal, Bimanual Mobile Manipulation Dataset for Generalizable Embodied Intelligence","Chengkai Hou, Kun Wu, Jiaming Liu, Zhengping Che, Di Wu, Fei Liao, Guangrun Li, Jingyang He, Qi Feng, Zhao Jin, Chenyang Gu, Zhuoyang Liu, Nuowei Han, Xiangju Mi, Yaoxu Lv, Yankai Fu, Gaole Dai, Langzhe Gu, Tao Li, Yuheng Zhang, Yixue Zhang, Xinhua Wang, Shichao Fan, Meng Li, Zhen Zhao, Ning Liu, Zhiyuan Xu, Pei Wun Ren, Junjie Ji, Haonan Liu, Kuan Cheng, Shanghang Zhang, Jian Tang",2025,ArXiv.org,arXiv:2512.24653,Planning|CreditAssignment|DatasetGeneration|OfflineRL|Simulation|LanguageConditioning|Architecture,"In this work, RoboMIND 2.0: A Multimodal, Bimanual Mobile Manipulation Dataset for Generalizable Embodied Intelligence uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is offline RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on robotics manipulation/control tasks, with improvements in success rate, returns, or sample efficiency.","RoboMIND 2.0: A Multimodal, Bimanual Mobile Manipulation Dataset for Generalizable Embodied Intelligence belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2512.24653,High,targeted_search
WebExplorer: Explore and Evolve for Training Long-Horizon Web Agents,"Junteng Liu, Yunji Li, Chi Zhang, Jingyang Li, Aili Chen, Ke Ji, Weiyu Cheng, Zijia Wu, Chengyu Du, Qidi Xu, Jiayuan Song, Zhengmao Zhu, Wenhu Chen, Pengyu Zhao, Junxian He",2025,ArXiv,arXiv:2509.06501v3,Policy|Planning|Exploration|DatasetGeneration|Reasoning|Architecture|AgentTraining,"In this work, WebExplorer: Explore and Evolve for Training Long-Horizon Web Agents uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is model-based RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/navigation environments tasks, with improvements in success rate, returns, or sample efficiency.","WebExplorer: Explore and Evolve for Training Long-Horizon Web Agents belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2509.06501v3,High,targeted_search
AgentFold: Long-Horizon Web Agents with Proactive Context Management,"Rui Ye, Zhongwang Zhang, Kuan Li, Huifeng Yin, Zhengwei Tao, Yida Zhao, Liangcai Su, Liwen Zhang, Zile Qiao, Xinyu Wang, Pengjun Xie, Fei Huang, Siheng Chen, Jingren Zhou, Yong Jiang",2025,ArXiv,arXiv:2510.24699v1,Policy|Planning|Verifier|Architecture|AgentTraining,"For AgentFold: Long-Horizon Web Agents with Proactive Context Management, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as hierarchical/long-horizon RL, making the LLM function part of control, reward, or planning computations. Experiments on web/navigation environments environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: AgentFold: Long-Horizon Web Agents with Proactive Context Management uses a LLM planner to support RL policy learning and control in web/navigation environments. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2510.24699v1,High,targeted_search
