Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Verification_Provider,Verification_URL,Verification_Confidence,Provenance
CAPE: Corrective Actions from Precondition Errors using Large Language Models,"Shreyas Sundara Raman, Vanya Cohen, Ifrah Idrees, Eric Rosen, Ray Mooney, Stefanie Tellex, David Paulius",2022,ArXiv,arXiv:2211.09935v3,Policy|Planning|Reasoning|Simulation|LanguageConditioning|Architecture,"In CAPE: Corrective Actions from Precondition Errors using Large Language Models, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","CAPE: Corrective Actions from Precondition Errors using Large Language Models belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2211.09935v3,High,papers.csv|targeted_search
HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents,"Jiangweizhi Peng, Yuanxin Liu, Ruida Zhou, Charles Fleming, Zhaoran Wang, Alfredo Garcia, Mingyi Hong",2026,ArXiv,arXiv:2602.16165v1,Policy|Planning|Reward|CreditAssignment|Architecture|AgentTraining,"In HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in web and tool-interaction tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2602.16165v1,High,pdf_ref|prior_core|targeted_search
DynaWeb: Model-Based Reinforcement Learning of Web Agents,"Hang Ding, Peidong Liu, Junqiao Wang, Ziwei Ji, Meng Cao, Rongzhao Zhang, Lynn Ai, Eric Yang, Tianyu Shi, Lei Yu",2026,ArXiv,arXiv:2601.22149v1,Policy|WorldModel|DatasetGeneration|Architecture|AgentTraining,"In DynaWeb: Model-Based Reinforcement Learning of Web Agents, the method integrates an LLM-informed world model or simulator into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in web and tool-interaction tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","DynaWeb: Model-Based Reinforcement Learning of Web Agents belongs in scope because its language-grounded world model directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2601.22149v1,High,pdf_ref|prior_core|targeted_search
GigaBrain-0.5M*: a VLA That Learns From World Model-Based Reinforcement Learning,"GigaBrain Team, Boyuan Wang, Chaojun Ni, Guan Huang, Guosheng Zhao, Hao Li, Jie Li, Jindi Lv, Jingyu Liu, Lv Feng, Mingming Yu, Peng Li, Qiuping Deng, Tianze Liu, Xinyu Zhou, Xinze Chen, Xiaofeng Wang, Yang Wang, Yifan Li, Yifei Nie, Yilong Li, Yukun Zhou, Yun Ye, Zhichao Liu, Zheng Zhu",2026,ArXiv,arXiv:2602.12099v1,Policy|Planning|WorldModel|Reasoning|Simulation|Verifier|Architecture,"In GigaBrain-0.5M*: a VLA That Learns From World Model-Based Reinforcement Learning, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","GigaBrain-0.5M*: a VLA That Learns From World Model-Based Reinforcement Learning belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2602.12099v1,High,pdf_ref|prior_core|targeted_search
RISE: Self-Improving Robot Policy with Compositional World Model,"Jiazhi Yang, Kunyang Lin, Jinwei Li, Wencong Zhang, Tianwei Lin, Longyan Wu, Zhizhong Su, Hao Zhao, Ya-Qin Zhang, Li Chen, Ping Luo, Xiangyu Yue, Hongyang Li",2026,ArXiv,arXiv:2602.11075v1,Policy|WorldModel|Simulation|Architecture,"In RISE: Self-Improving Robot Policy with Compositional World Model, the method integrates an LLM-informed world model or simulator into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","RISE: Self-Improving Robot Policy with Compositional World Model belongs in scope because its language-grounded world model directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2602.11075v1,High,pdf_ref|prior_core|targeted_search
World-Gymnast: Training Robots with Reinforcement Learning in a World Model,"Ansh Kumar Sharma, Yixiang Sun, Ninghao Lu, Yunzhe Zhang, Jiarao Liu, Sherry Yang",2026,ArXiv,arXiv:2602.02454v1,Policy|Reward|WorldModel|Simulation|LanguageConditioning|Architecture,"In World-Gymnast: Training Robots with Reinforcement Learning in a World Model, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","World-Gymnast: Training Robots with Reinforcement Learning in a World Model belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2602.02454v1,High,pdf_ref|prior_core|targeted_search
Found-RL: foundation model-enhanced reinforcement learning for autonomous driving,"Yansong Qu, Zihao Sheng, Zilin Huang, Jiancong Chen, Yuhao Luo, Tianyi Wang, Yiheng Feng, Samuel Labi, Sikai Chen",2026,ArXiv,arXiv:2602.10458v1,Policy|Reward|ToolUse|Reasoning|Simulation|LanguageConditioning|Architecture|HybridRL,"In Found-RL: foundation model-enhanced reinforcement learning for autonomous driving, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Found-RL: foundation model-enhanced reinforcement learning for autonomous driving belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.10458v1,High,pdf_ref|prior_core|targeted_search
In-Context Autonomous Network Incident Response: An End-to-End Large Language Model Agent Approach,"Yiran Gao, Kim Hammar, Tao Li",2026,ArXiv,arXiv:2602.13156v1,Policy|Planning|Exploration|ToolUse|Reasoning|Simulation|Architecture,"In In-Context Autonomous Network Incident Response: An End-to-End Large Language Model Agent Approach, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","In-Context Autonomous Network Incident Response: An End-to-End Large Language Model Agent Approach belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2602.13156v1,High,pdf_ref|prior_core|targeted_search
Intelli-Planner: Towards Customized Urban Planning via Large Language Model Empowered Reinforcement Learning,"Xixian Yong, Peilin Sun, Zihe Wang, Xiao Zhou",2026,ArXiv.org,arXiv:2601.21212,Policy|Planning|Reward|Architecture,"In Intelli-Planner: Towards Customized Urban Planning via Large Language Model Empowered Reinforcement Learning, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Intelli-Planner: Towards Customized Urban Planning via Large Language Model Empowered Reinforcement Learning belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2601.21212,High,pdf_ref|targeted_search
World-VLA-Loop: Closed-Loop Learning of Video World Model and VLA Policy,"Xiaokang Liu, Zechen Bai, Hai Ci, Kevin Yuchen Ma, Mike Zheng Shou",2026,ArXiv,arXiv:2602.06508v1,Policy|Reward|WorldModel|DatasetGeneration|Simulation|Architecture|HybridRL,"In World-VLA-Loop: Closed-Loop Learning of Video World Model and VLA Policy, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","World-VLA-Loop: Closed-Loop Learning of Video World Model and VLA Policy belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.06508v1,High,pdf_ref|prior_core|targeted_search
Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,"Jitao Sang, Jinlin Xiao, Jiarun Han, Jilin Chen, Xiaoyi Chen, Shuyu Wei, Yongjie Sun, Yuhang Wang",2025,ArXiv,arXiv:2510.16720v2,Policy|Planning|Exploration|ToolUse|Memory|Reasoning|MultiAgent|Architecture,"In Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2510.16720v2,High,pdf_ref|prior_core|targeted_search
Towards Humanoid Robot Autonomy: A Dynamic Architecture Integrating Continuous thought Machines (CTM) and Model Context Protocol (MCP),Libo Wang,2025,ArXiv,arXiv:2505.19339v1,Planning|DatasetGeneration|Simulation|Architecture,"In Towards Humanoid Robot Autonomy: A Dynamic Architecture Integrating Continuous thought Machines (CTM) and Model Context Protocol (MCP), the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Towards Humanoid Robot Autonomy: A Dynamic Architecture Integrating Continuous thought Machines (CTM) and Model Context Protocol (MCP) belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2505.19339v1,High,pdf_ref|targeted_search
Acting Less is Reasoning More! Teaching Model to Act Efficiently,"Hongru Wang, Cheng Qian, Wanjun Zhong, Xiusi Chen, Jiahao Qiu, Shijue Huang, Bowen Jin, Mengdi Wang, Kam-Fai Wong, Heng Ji",2025,ArXiv,arXiv:2504.14870v2,Policy|Reward|ToolUse|Reasoning|Architecture|HybridRL,"In Acting Less is Reasoning More! Teaching Model to Act Efficiently, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Acting Less is Reasoning More! Teaching Model to Act Efficiently belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2504.14870v2,High,pdf_ref|targeted_search
AutoWebGLM: A Large Language Model-based Web Navigating Agent,"Hanyu Lai, Xiao Liu, Iat Long Iong, Shuntian Yao, Yuxuan Chen, Pengbo Shen, Hao Yu, Hanchen Zhang, Xiaohan Zhang, Yuxiao Dong, Jie Tang",2024,ArXiv,arXiv:2404.03648v2,Policy|ToolUse|Curriculum|Architecture|AgentTraining,"In AutoWebGLM: A Large Language Model-based Web Navigating Agent, the method integrates an LLM-guided policy module into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in web and tool-interaction tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","AutoWebGLM: A Large Language Model-based Web Navigating Agent belongs in scope because its language-conditioned policy module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2404.03648v2,High,pdf_ref|targeted_search
Code as Policies: Language Model Programs for Embodied Control,"Jacky Liang, Wenlong Huang, Fei Xia, Peng Xu, Karol Hausman, Brian Ichter, Pete Florence, Andy Zeng",2023,,10.1109/icra48891.2023.10160591,Policy|CreditAssignment|ToolUse|Reasoning|Simulation|LanguageConditioning|Architecture,"In Code as Policies: Language Model Programs for Embodied Control, the method integrates an LLM-guided policy module into the RL loop rather than using RL solely to tune an LLM. The approach targets long-horizon credit assignment for agents operating in embodied robotic tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Code as Policies: Language Model Programs for Embodied Control belongs in scope because its language-conditioned policy module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,openalex,https://openalex.org/W4383097638,High,citation_expand|pdf_ref
Skill Reinforcement Learning and Planning for Open-World Long-Horizon Tasks,"Haoqi Yuan, Chi Zhang, Hongcheng Wang, Feiyang Xie, Penglin Cai, Hao Dong, Zongqing Lu",2023,ArXiv,arXiv:2303.16563v2,Policy|Planning|Reward|Exploration|Simulation|Architecture,"In Skill Reinforcement Learning and Planning for Open-World Long-Horizon Tasks, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in web and tool-interaction tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Skill Reinforcement Learning and Planning for Open-World Long-Horizon Tasks belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2303.16563v2,High,pdf_ref
Unleashing the Power of Pre-trained Language Models for Offline Reinforcement Learning,"Ruizhe Shi, Yuyao Liu, Yanjie Ze, Simon S. Du, Huazhe Xu",2023,ArXiv,arXiv:2310.20587v5,Policy|Reward|DatasetGeneration|OfflineRL|Architecture,"In Unleashing the Power of Pre-trained Language Models for Offline Reinforcement Learning, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in offline RL benchmarks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Unleashing the Power of Pre-trained Language Models for Offline Reinforcement Learning belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2310.20587v5,High,pdf_ref
Language Reward Modulation for Pretraining Reinforcement Learning,"Ademi Adeniji, Amber Xie, Carmelo Sferrazza, Younggyo Seo, Stephen James, Pieter Abbeel",2023,ArXiv,arXiv:2308.12270v1,Policy|Reward|Exploration|Simulation|LanguageConditioning|Architecture|HybridRL,"In Language Reward Modulation for Pretraining Reinforcement Learning, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","Language Reward Modulation for Pretraining Reinforcement Learning belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2308.12270v1,High,pdf_ref
Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents,"Zihao Zhou, Bin Hu, Chenyang Zhao, Pu Zhang, Bin Liu",2023,ArXiv,arXiv:2311.13373v6,Policy|Exploration|LanguageConditioning|Architecture,"In Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents, the method integrates an LLM-guided policy module into the RL loop rather than using RL solely to tune an LLM. The approach targets exploration and data collection efficiency for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents belongs in scope because its language-conditioned policy module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2311.13373v6,High,pdf_ref
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances","Michael J. Ahn, Anthony Brohan, Noah Brown, Yevgen Chebotar, Omar Andrés Carmona Cortes, Byron David, Chelsea Finn, Keerthana Gopalakrishnan, Karol Hausman, Alex Herzog, Daniel W. C. Ho, Jasmine Hsu, Julian Ibarz, Brian Ichter, Alex Irpan, Eric B. Jang, Rosario Jauregui Ruano, Kyle Jeffrey, Sally Jesmonth, Nikhil J Joshi, Ryan R. Julian, Dmitry Kalashnikov, Yuheng Kuang, Kuang-Huei Lee, Sergey Levine, Yao Lu, Linda Luu, Carolina Parada, Peter Pastor, Jornell Quiambao, Kanishka Rao, Jarek Rettinghouse, Diego Reyes, Pierre Sermanet, Nicolas Sievers, Clayton Tan, Alexander Toshev, Vincent Vanhoucke, Fei Xia, Ted Xiao, Peng Xu, Sichun Xu, Mengyuan Yan, Yan, Mengyuan, Zeng, Andy",2022,arXiv (Cornell University),arXiv:2204.01691,Policy|Planning|Reward|Simulation|LanguageConditioning|Architecture,"In Do As I Can, Not As I Say: Grounding Language in Robotic Affordances, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Do As I Can, Not As I Say: Grounding Language in Robotic Affordances belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,openalex,https://openalex.org/W4224912544,High,citation_expand|pdf_ref|targeted_search
The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,"Guibin Zhang, Hejia Geng, Xiaohang Yu, Zhenfei Yin, Zaibin Zhang, Zelin Tan, Heng Zhou, Zhongzhi Li, Xiangyuan Xue, Yijiang Li, Yifan Zhou, Yang Chen, Chen Zhang, Yutao Fan, Zihu Wang, Songtao Huang, Francisco Piedrahita-Velez, Yue Liao, Hongru Wang, Mengyue Yang, Heng Ji, Jun Wang, Shuicheng Yan, Philip Torr, Lei Bai",2025,ArXiv,arXiv:2509.02547v4,Policy|Planning|ToolUse|Memory|Reasoning|Verifier|Architecture,"In The Landscape of Agentic Reinforcement Learning for LLMs: A Survey, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets policy improvement and return optimization for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","The Landscape of Agentic Reinforcement Learning for LLMs: A Survey belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2509.02547v4,High,prior_core|targeted_search
LA-RL: Language Action-guided Reinforcement Learning with Safety Guarantees for Autonomous Highway Driving,"Yiming Shu, Jiahui Xu, Jianmin Tang, R L Gao, Chen Sun",2025,arXiv (Cornell University),arXiv:2512.05686,Policy|Planning|Reward|Exploration|ToolUse|Reasoning|Simulation|Verifier|Architecture,"In LA-RL: Language Action-guided Reinforcement Learning with Safety Guarantees for Autonomous Highway Driving, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","LA-RL: Language Action-guided Reinforcement Learning with Safety Guarantees for Autonomous Highway Driving belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2512.05686,High,targeted_search
PIGEON: VLM-Driven Object Navigation via Points of Interest Selection,"Cheng Peng, Zhenzhe Zhang, Cheng Chi, Xiaobao Wei, Yanhao Zhang, Heng Wang, Pengwei Wang, Zhongyuan Wang, Jing Liu, Shanghang Zhang",2025,arXiv (Cornell University),arXiv:2511.13207,Planning|Reward|Exploration|Memory|Reasoning|Simulation|Verifier|Architecture,"In PIGEON: VLM-Driven Object Navigation via Points of Interest Selection, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in embodied robotic tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","PIGEON: VLM-Driven Object Navigation via Points of Interest Selection belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2511.13207,High,targeted_search
Exploring the synergies between transfer in reinforcement learning and procedural content generation,"Müller-Brockhausen, Matthias",2025,,10.60602/1887/4282228,Policy|Reward|Exploration|TreeSearch|Verifier|Curriculum|LanguageConditioning|Architecture,"In Exploring the synergies between transfer in reinforcement learning and procedural content generation, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in game-like sequential decision tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Exploring the synergies between transfer in reinforcement learning and procedural content generation belongs in scope because its LLM reward/feedback module directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,openalex,https://openalex.org/W7114987449,High,targeted_search
Meta-RL Induces Exploration in Language Agents,"Yulun Jiang, Liangze Jiang, Damien Teney, Michael Moor, Maria Brbic",2025,ArXiv,arXiv:2512.16848v1,Policy|Planning|Reward|CreditAssignment|Exploration|Architecture,"In Meta-RL Induces Exploration in Language Agents, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in web and tool-interaction tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Meta-RL Induces Exploration in Language Agents belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2512.16848v1,High,prior_core|targeted_search
Process-Supervised Reinforcement Learning for Interactive Multimodal Tool-Use Agents,"Weiting Tan, Xinghua Qu, Ming Tu, Meng Ge, Andy T. Liu, Philipp Koehn, Lu Lu",2025,ArXiv,arXiv:2509.14480v1,Policy|Planning|CreditAssignment|Exploration|ToolUse|Reasoning|Curriculum|Architecture|AgentTraining,"In Process-Supervised Reinforcement Learning for Interactive Multimodal Tool-Use Agents, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets long-horizon credit assignment for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Process-Supervised Reinforcement Learning for Interactive Multimodal Tool-Use Agents belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2509.14480v1,High,prior_core|targeted_search
TGPO: Tree-Guided Preference Optimization for Robust Web Agent Reinforcement Learning,"Ziyuan Chen, Zhenghui Zhao, Zhangye Han, Miancan Liu, Xianhang Ye, Yiqing Li, Hongbo Min, Jinkui Ren, Xiantao Zhang, Guitao Cao",2025,ArXiv,arXiv:2509.14172v2,Policy|Reward|CreditAssignment|DatasetGeneration|OfflineRL|ToolUse|Verifier|Architecture|HybridRL|AgentTraining,"In TGPO: Tree-Guided Preference Optimization for Robust Web Agent Reinforcement Learning, the method integrates an LLM reward/feedback module into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in web and tool-interaction tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","TGPO: Tree-Guided Preference Optimization for Robust Web Agent Reinforcement Learning belongs in scope because its LLM reward/feedback module contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2509.14172v2,High,prior_core|targeted_search
Conversational Planning for Personal Plans,"Konstantina Christakopoulou, Iris Qu, John Canny, Andrew Goodridge, Cj Adams, Minmin Chen, Maja Matarić",2025,ArXiv,arXiv:2502.19500v1,Policy|Planning|CreditAssignment|Exploration|ToolUse|Reasoning|Architecture,"In Conversational Planning for Personal Plans, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets long-horizon credit assignment for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Conversational Planning for Personal Plans belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2502.19500v1,High,prior_core|targeted_search
In-the-Flow Agentic System Optimization for Effective Planning and Tool Use,"Zhuofeng Li, Haoxiang Zhang, Seungju Han, Sheng Liu, Jianwen Xie, Yu Zhang, Yejin Choi, James Zou, Pan Lu",2025,ArXiv,arXiv:2510.05592v1,Policy|Planning|Reward|CreditAssignment|ToolUse|Memory|Reasoning|Verifier|Architecture,"In In-the-Flow Agentic System Optimization for Effective Planning and Tool Use, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The experiments include mixed training components, but the reported gains are tied to improved agent behavior in RL-style interaction loops.","In-the-Flow Agentic System Optimization for Effective Planning and Tool Use belongs in scope because its LLM planner contains mixed objectives but explicitly improves RL-agent behavior in the environment loop, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2510.05592v1,High,prior_core|targeted_search
Information Gain-based Policy Optimization: A Simple and Effective Approach for Multi-Turn LLM Agents,"Guoqing Wang, Sunhao Dai, Guangze Ye, Zeyu Gan, Wei Yao, Yong Deng, Xiaofeng Wu, Zhenzhe Ying",2025,ArXiv,arXiv:2510.14967v1,Policy|Planning|Reward|CreditAssignment|ToolUse|Reasoning|Verifier|Architecture|AgentTraining,"In Information Gain-based Policy Optimization: A Simple and Effective Approach for Multi-Turn LLM Agents, the method integrates an LLM planner into the RL loop rather than using RL solely to tune an LLM. The approach targets reward design or reward shaping for agents operating in interactive RL tasks. The empirical section reports comparative experiments against RL or agent baselines and analyzes improvements in task success and decision quality.","Information Gain-based Policy Optimization: A Simple and Effective Approach for Multi-Turn LLM Agents belongs in scope because its LLM planner directly improves RL-agent learning or decision-making, which is LLM-to-RL directionality rather than RL post-training for LLM quality.",LLM_for_RL,arxiv,https://arxiv.org/abs/2510.14967v1,High,prior_core|targeted_search
