Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Evidence_Sources,Verification_URL
EmboCoach-Bench: Benchmarking AI Agents on Developing Embodied Robots,"Zixing Lei, Genjia Liu, Yuanshuo Zhang, Qipeng Liu, Chuan Wen, Shanghang Zhang, Wenzhao Lian, Siheng Chen",2026,ArXiv,arXiv:2601.21570v1,Policy|Reward|ToolUse|Simulation|Verifier|Curriculum|Architecture,"This work addresses The field of Embodied AI is witnessing a rapid evolution toward general-purpose robotic systems, fueled by high-fidelity simulation and large-scale data collection. It proposes Inspired by LLMs' success in software automation and science discovery, we introduce \textsc{EmboCoach-Bench}, a benchmark evaluating the capacity of LLM agents to autonomously engineer embodied policies. The evaluation reports that Inspired by LLMs' success in software automation and science discovery, we introduce \textsc{EmboCoach-Bench}, a benchmark evaluating the capacity of LLM agents to autonomously engineer embodied policies. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.21570v1
Enhancing Cloud Network Resilience via a Robust LLM-Empowered Multi-Agent Reinforcement Learning Framework,"Yixiao Peng, Hao Hu, Feiyang Li, Xinye Cao, Yingchang Jiang, Jipeng Tang, Guoshun Nan, Yuling Liu",2026,ArXiv,arXiv:2601.07122v1,Policy|Planning|CreditAssignment|DatasetGeneration|Memory|MultiAgent|Architecture,"This work addresses While virtualization and resource pooling empower cloud networks with structural flexibility and elastic scalability, they inevitably expand the attack surface and challenge cyber resilience. It proposes However, existing approaches lack robustness as they require retraining to adapt to dynamic changes in network structure, node scale, attack strategies, and attack intensity. The evaluation reports that Experiments on real cloud datasets show that, compared to state-of-the-art algorithms, CyberOps-Bots maintains network availability 68.5% higher and achieves a 34.7% jumpstart performance gain when shifting the scenarios without retraining. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.07122v1
Entropy-Gated Selective Policy Optimization:Token-Level Gradient Allocation for Hybrid Training of Large Language Models,"Yuelin Hu, Zhengxue Cheng, Wei Liu, Li Song",2026,ArXiv,arXiv:2602.03309v1,Policy|Exploration|Reasoning|Verifier|Architecture,"This work addresses Hybrid training methods for large language models combine supervised fine tuning (SFT) on expert demonstrations with reinforcement learning (RL) on model rollouts, typically at the sample level. It proposes Hybrid training methods for large language models combine supervised fine tuning (SFT) on expert demonstrations with reinforcement learning (RL) on model rollouts, typically at the sample level. The evaluation reports that EGSPO achieves consistent improvements on mathematical reasoning benchmarks, with gains of 3.8 percent on AIME and 2.9 percent on MATH over the CHORD phi baseline, while incurring only 3.4 percent additional computational overhead. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03309v1
Evolving LLM-Derived Control Policies for Residential EV Charging and Vehicle-to-Grid Energy Optimization,"Vishesh Purnananda, Benjamin John Wruck, Mingyu Guo",2026,ArXiv,arXiv:2602.07275v1,Reasoning|Simulation|LanguageConditioning|Architecture,"This work addresses This research presents a novel application of Evolutionary Computation to the domain of residential electric vehicle (EV) energy management. It proposes Addressing this interpretability gap, we propose a program search framework that leverages Large Language Models (LLMs) as intelligent mutation operators within an iterative prompt-evaluation-repair loop. The evaluation reports that Utilizing the high-fidelity EV2Gym simulation environment as a fitness function, the system undergoes successive refinement cycles to synthesize executable Python policies that balance profit maximization, user comfort, and physical safety constraints. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language model module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.07275v1
Experiential Reinforcement Learning,"Taiwei Shi, Sihao Chen, Bowen Jiang, Linxin Song, Longqi Yang, Jieyu Zhao",2026,ArXiv,arXiv:2602.13949v1,Policy|Reward|Exploration|Reasoning|Architecture,"This work addresses Reinforcement learning has become the central approach for language models (LMs) to learn from environmental reward or feedback. It proposes Reinforcement learning has become the central approach for language models (LMs) to learn from environmental reward or feedback. The evaluation reports that Given a task, the model generates an initial attempt, receives environmental feedback, and produces a reflection that guides a refined second attempt, whose success is reinforced and internalized into the base policy. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.13949v1
FinEvo: From Isolated Backtests to Ecological Market Games for Multi-Agent Financial Strategy Evolution,"Mingxi Zou, Jiaxiang Chen, Aotian Luo, Jingyi Dai, Chi Zhang, Dongning Sun, Zenglin Xu",2026,ArXiv,arXiv:2602.00948v1,Policy|Exploration|MultiAgent|Architecture,"This work addresses Conventional financial strategy evaluation relies on isolated backtests in static environments. It proposes Instead of proposing a new strategy, we present FinEvo, an ecological game formalism for studying the evolutionary dynamics of multi-agent financial strategies. The evaluation reports that Experiments with external shocks and real-world news streams show that FinEvo is both stable for reproducibility and expressive in revealing context-dependent outcomes. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.00948v1
Flexible Entropy Control in RLVR with Gradient-Preserving Perspective,"Kun Chen, Peng Shi, Fanfan Liu, Haibo Qiu, Zhixiong Zeng, Siqi Yang, Wenji Mao",2026,ArXiv,arXiv:2602.09782v1,Policy|Reward|Exploration|ToolUse|Reasoning|Verifier|Architecture,"This work addresses Reinforcement Learning with Verifiable Rewards (RLVR) has emerged as a critical method for enhancing the reasoning capabilities of Large Language Models (LLMs). It proposes Reinforcement Learning with Verifiable Rewards (RLVR) has emerged as a critical method for enhancing the reasoning capabilities of Large Language Models (LLMs). The evaluation reports that However, continuous training often leads to policy entropy collapse, characterized by a rapid decay in entropy that results in premature overconfidence, reduced output diversity, and vanishing gradient norms that inhibit learning. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.09782v1
Found-RL: foundation model-enhanced reinforcement learning for autonomous driving,"Yansong Qu, Zihao Sheng, Zilin Huang, Jiancong Chen, Yuhao Luo, Tianyi Wang, Yiheng Feng, Samuel Labi, Sikai Chen",2026,ArXiv,arXiv:2602.10458v1,Policy|Reward|ToolUse|Reasoning|Simulation|LanguageConditioning|Architecture|HybridRL,"This work addresses Reinforcement Learning (RL) has emerged as a dominant paradigm for end-to-end autonomous driving (AD). It proposes To bridge this gap, we present Found-RL, a platform tailored to efficiently enhance RL for AD using foundation models. The evaluation reports that The reported evaluations compare against baselines and analyze gains in interactive decision performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.10458v1
From Passive Metric to Active Signal: The Evolving Role of Uncertainty Quantification in Large Language Models,"Jiaxin Zhang, Wendi Cui, Zhuohang Li, Lifu Huang, Bradley Malin, Caiming Xiong, Chien-Sheng Wu",2026,ArXiv,arXiv:2601.15690v1,Policy|Reward|ToolUse|Reasoning|Verifier|Architecture,"This work addresses While Large Language Models (LLMs) show remarkable capabilities, their unreliability remains a critical barrier to deployment in high-stakes domains. It proposes By grounding these advancements in emerging theoretical frameworks like Bayesian methods and Conformal Prediction, we provide a unified perspective on this transformative trend. The evaluation reports that We demonstrate how uncertainty is leveraged as an active control signal across three frontiers: in \textbf{advanced reasoning} to optimize computation and trigger self-correction; in \textbf{autonomous agents} to govern metacognitive decisions about tool use and information seeking; and in \textbf{reinforcement learning} to mitigate reward hacking and enable self-improvement via intrinsic rewards. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.15690v1
From Pixels to Policies: Reinforcing Spatial Reasoning in Language Models for Content-Aware Layout Design,"Sha Li, Stefano Petrangeli, Yu Shen, Xiang Chen",2026,ArXiv,arXiv:2602.13912v2,Policy|Reasoning|Verifier|Architecture,"This work addresses We introduce LaySPA, a reinforcement learning framework that equips large language models (LLMs) with explicit and interpretable spatial reasoning for content-aware graphic layout design. It proposes We introduce LaySPA, a reinforcement learning framework that equips large language models (LLMs) with explicit and interpretable spatial reasoning for content-aware graphic layout design. The evaluation reports that Experiments demonstrate that LaySPA improves structural validity and visual quality, outperforming larger proprietary LLMs and achieving performance comparable to specialized SOTA layout generators while requiring fewer annotated samples and reduced latency. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.13912v2
From SFT to RL: Demystifying the Post-Training Pipeline for LLM-based Vulnerability Detection,"Youpeng Li, Fuxun Yu, Xinda Wang",2026,ArXiv,arXiv:2602.14012v1,Policy|Reward|CreditAssignment|Exploration|Architecture|HybridRL,"This work addresses The integration of LLMs into vulnerability detection (VD) has shifted the field toward interpretable and context-aware analysis. It proposes While post-training methods have shown promise in general coding tasks, their systematic application to VD remains underexplored. The evaluation reports that Our study identifies practical guidelines and insights: (1) SFT based on rejection sampling greatly outperforms rationalization-based supervision, which can introduce hallucinations due to ground-truth leakage. It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.14012v1
Generative Reasoning Re-ranker,"Mingfu Liang, Yufei Li, Jay Xu, Kavosh Asadi, Xi Liu, Shuo Gu, Kaushik Rangadurai, Frank Shyu, Shuaiwen Wang, Song Yang, Zhijing Li, Jiang Liu, Mengying Sun, Fei Tian, Xiaohan Wei, Chonglin Sun, Jacob Tao, Shike Mei, Hamed Firooz, Wenlin Chen, Luke Simon",2026,ArXiv,arXiv:2602.07774v3,Policy|Reward|Exploration|DatasetGeneration|Reasoning|Verifier|LanguageConditioning|Architecture,"This work addresses Recent studies increasingly explore Large Language Models (LLMs) as a new paradigm for recommendation systems due to their scalability and world knowledge. It proposes To address these gaps, we propose the Generative Reasoning Reranker (GR2), an end-to-end framework with a three-stage training pipeline tailored for reranking. The evaluation reports that Experiments on two real-world datasets demonstrate GR2's effectiveness: it surpasses the state-of-the-art OneRec-Think by 2.4% in Recall@5 and 1.3% in NDCG@5. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.07774v3
GFlowPO: Generative Flow Network as a Language Model Prompt Optimizer,"Junmo Cho, Suhan Kim, Sangjune An, Minsu Kim, Dong Bok Lee, Heejun Lee, Sung Ju Hwang, Hae Beom Lee",2026,ArXiv,arXiv:2602.03358v1,Policy|Reward|Exploration|Memory|Verifier|LanguageConditioning|Architecture,"This work addresses Finding effective prompts for language models (LMs) is critical yet notoriously difficult: the prompt space is combinatorially large, rewards are sparse due to expensive target-LM evaluation. It proposes We propose GFlowPO, a probabilistic prompt optimization framework that casts prompt search as a posterior inference problem over latent prompts regularized by a meta-prompted reference-LM prior. The evaluation reports that Across few-shot text classification, instruction induction benchmarks, and question answering tasks, GFlowPO consistently outperforms recent discrete prompt optimization baselines. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03358v1
GigaBrain-0.5M*: a VLA That Learns From World Model-Based Reinforcement Learning,"GigaBrain Team, Boyuan Wang, Chaojun Ni, Guan Huang, Guosheng Zhao, Hao Li, Jie Li, Jindi Lv, Jingyu Liu, Lv Feng, Mingming Yu, Peng Li, Qiuping Deng, Tianze Liu, Xinyu Zhou, Xinze Chen, Xiaofeng Wang, Yang Wang, Yifan Li, Yifei Nie, Yilong Li, Yukun Zhou, Yun Ye, Zhichao Liu, Zheng Zhu",2026,ArXiv,arXiv:2602.12099v1,Policy|Planning|WorldModel|Reasoning|Simulation|Verifier|Architecture,"This work addresses Vision-language-action (VLA) models that directly predict multi-step action chunks from current observations face inherent limitations due to constrained scene understanding and weak future anticipation capabilities. It proposes Therefore, we propose \textit{GigaBrain-0.5M*}, a VLA model trained via world model-based reinforcement learning. The evaluation reports that Built upon \textit{GigaBrain-0.5}, which is pre-trained on over 10,000 hours of robotic manipulation data, whose intermediate version currently ranks first on the international RoboChallenge benchmark. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.12099v1
Guided Verifier: Collaborative Multimodal Reasoning via Dynamic Process Supervision,"Lingzhuang Sun, Ruitong Liu, Yuxia Zhu, Xiaohan Xu, Jingxuan Wei, Xiangxiang Zhang, Bihui Yu, Wentao Zhang",2026,ArXiv,arXiv:2602.04290v1,Policy|Reward|DatasetGeneration|Reasoning|Verifier|Architecture,"This work addresses Reinforcement Learning (RL) has emerged as a pivotal mechanism for enhancing the complex reasoning capabilities of Multimodal Large Language Models (MLLMs). It proposes In this paper, we propose the \textbf{Guided Verifier} framework to address these structural limitations. The evaluation reports that This lack of intermediate oversight renders the reasoning process susceptible to error propagation, where early logical deviations cascade into irreversible failures, resulting in noisy optimization signals. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.04290v1
HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents,"Jiangweizhi Peng, Yuanxin Liu, Ruida Zhou, Charles Fleming, Zhaoran Wang, Alfredo Garcia, Mingyi Hong",2026,ArXiv,arXiv:2602.16165v1,Policy|Planning|Reward|CreditAssignment|Architecture|AgentTraining,"This work addresses Training LLMs as interactive agents for multi-turn decision-making remains challenging, particularly in long-horizon tasks with sparse and delayed rewards, where agents must execute extended sequences of actions before receiving meaningful feedback. It proposes Most existing reinforcement learning (RL) approaches model LLM agents as flat policies operating at a single time scale, selecting one action at each turn. The evaluation reports that Empirically, HiPER achieves state-of-the-art performance on challenging interactive benchmarks, reaching 97.4\% success on ALFWorld and 83.3\% on WebShop with Qwen2.5-7B-Instruct (+6.6\% and +8.3\% over the best prior method), with especially large gains on long-horizon tasks requiring multiple dependent subtasks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|related_papers.csv|targeted_search,https://arxiv.org/abs/2602.16165v1
How Far Are LLMs from Professional Poker Players? Revisiting Game-Theoretic Reasoning with Agentic Tool Use,"Minhua Lin, Enyan Dai, Hui Liu, Xianfeng Tang, Yuliang Yan, Zhenwei Dai, Jingying Zeng, Zhiwei Zhang, Fali Wang, Hongcheng Gao, Chen Luo, Xiang Zhang, Qi He, Suhang Wang",2026,ArXiv,arXiv:2602.00528v1,Policy|ToolUse|Reasoning|Verifier|Architecture,"This work addresses As Large Language Models (LLMs) are increasingly applied in high-stakes domains, their ability to reason strategically under uncertainty becomes critical. It proposes Our analysis reveals LLMs fail to compete against traditional algorithms and identifies three recurring flaws: reliance on heuristics, factual misunderstandings, and a ""knowing-doing"" gap where actions diverge from reasoning. The evaluation reports that An initial attempt with behavior cloning and step-level reinforcement learning improves reasoning style but remains insufficient for accurate game-theoretic play. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.00528v1
How2Everything: Mining the Web for How-To Procedures to Evaluate and Improve LLMs,"Yapei Chang, Kyle Lo, Mohit Iyyer, Luca Soldaini",2026,ArXiv,arXiv:2602.08808v1,Planning|Reward|Reasoning|Verifier|Architecture,"This work addresses Generating step-by-step ""how-to"" procedures is a key LLM capability: how-to advice is commonly requested in chatbots, and step-by-step planning is critical for reasoning over complex tasks. It proposes To address this, we introduce How2Everything, a scalable framework to evaluate and improve goal-conditioned procedure generation. The evaluation reports that Yet, measuring and improving procedural validity at scale on real-world tasks remains challenging and understudied. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.08808v1
Implicit Strategic Optimization: Rethinking Long-Horizon Decision-Making in Adversarial Poker Environments,"Boyang Xia, Weiyou Tian, Qingnan Ren, Jiaqi Huang, Jie Xiao, Shuo Lu, Kai Wang, Lynn Ai, Eric Yang, Bill Shi",2026,ArXiv,arXiv:2602.08041v1,Policy|Planning|Reward|Architecture,"This work addresses Training large language model (LLM) agents for adversarial games is often driven by episodic objectives such as win rate. It proposes To solve this problem, we introduce Implicit Strategic Optimization (ISO), a prediction-aware framework in which each agent forecasts the current strategic context and uses it to update its policy online. The evaluation reports that Experiments in 6-player No-Limit Texas Hold'em and competitive Pokemon show consistent improvements in long-term return over strong LLM and RL baselines, and graceful degradation under controlled prediction noise. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.08041v1
Improving Data and Reward Design for Scientific Reasoning in Large Language Models,"Zijie Chen, Zhenghao Lin, Xiao Liu, Zhenzhong Lan, Yeyun Gong, Peng Cheng",2026,ArXiv,arXiv:2602.08321v2,Reward|Exploration|DatasetGeneration|Reasoning|Verifier|Curriculum|Architecture|HybridRL,"This work addresses Solving open-ended science questions remains challenging for large language models, particularly due to inherently unreliable supervision and evaluation. It proposes We develop a large-scale, systematic data processing pipeline that transforms heterogeneous open-source science data into Dr. The evaluation reports that SCI pipeline achieves 63.2 on GPQA-diamond and 32.4 on GPQA-general, consistently improves over strong post-trained baselines such as o1-mini and GPT-4o, demonstrating substantial gains in scientific reasoning, especially in open-ended settings. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.08321v2
In-Context Autonomous Network Incident Response: An End-to-End Large Language Model Agent Approach,"Yiran Gao, Kim Hammar, Tao Li",2026,ArXiv,arXiv:2602.13156v1,Policy|Planning|Exploration|ToolUse|Reasoning|Simulation|Architecture,"This work addresses Rapidly evolving cyberattacks demand incident response systems that can autonomously learn and adapt to changing threats. It proposes Prior work has extensively explored the reinforcement learning approach, which involves learning response strategies through extensive simulation of the incident. The evaluation reports that When evaluated on incident logs reported in the literature, our agent achieves recovery up to 23% faster than those of frontier LLMs. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.13156v1
Jackpot: Optimal Budgeted Rejection Sampling for Extreme Actor-Policy Mismatch Reinforcement Learning,"Zhuoming Chen, Hongyi Liu, Yang Zhou, Haizhong Zheng, Beidi Chen",2026,ArXiv,arXiv:2602.06107v1,Policy|Architecture|HybridRL,"This work addresses Reinforcement learning (RL) for large language models (LLMs) remains expensive, particularly because the rollout is expensive. It proposes We propose Jackpot, a framework that leverages Optimal Budget Rejection Sampling (OBRS) to directly reduce the discrepancy between the rollout model and the evolving policy. The evaluation reports that Empirically, \sys substantially improves training stability compared to importance-sampling baselines, achieving performance comparable to on-policy RL when training Qwen3-8B-Base for up to 300 update steps of batchsize 64. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.06107v1
LACONIC: Length-Aware Constrained Reinforcement Learning for LLM,"Chang Liu, Yiran Zhao, Lawrence Liu, Yaoqi Ye, Csaba Szepesvári, Lin F. Yang",2026,ArXiv,arXiv:2602.14468v1,Policy|Reward|DatasetGeneration|ToolUse|Reasoning|Architecture,"This work addresses Reinforcement learning (RL) has enhanced the capabilities of large language models (LLMs) through reward-driven training. It proposes Prior length-control approaches typically rely on fixed heuristic reward shaping, which can misalign with the task objective and require brittle tuning. The evaluation reports that Across mathematical reasoning models and datasets, LACONIC preserves or improves pass@1 while reducing output length by over 50%. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.14468v1
Learning from the Irrecoverable: Error-Localized Policy Optimization for Tool-Integrated LLM Reasoning,"Qiao Liang, Yuke Zhu, Chao Ge, Lei Yang, Ying Shen, Bo Zheng, Sheng Guo",2026,ArXiv,arXiv:2602.09598v1,Policy|Planning|Reward|CreditAssignment|ToolUse|Reasoning|Verifier|Architecture,"This work addresses Tool-integrated reasoning (TIR) enables LLM agents to solve tasks through planning, tool use, and iterative revision, but outcome-only reinforcement learning in this setting suffers from sparse, delayed rewards and weak step-level credit assignment. It proposes We propose Error-Localized Policy Optimization (ELPO), which localizes the first irrecoverable step via binary-search rollout trees under a fixed rollout budget, converts the resulting tree into stable learning signals through hierarchical advantage attribution, and applies error-localized adaptive clipping to strengthen corrective updates on the critical step and its suffix. The evaluation reports that In long-horizon TIR trajectories, an early irrecoverable mistake can determine success or failure, making it crucial to localize the first irrecoverable step and leverage it for fine-grained credit assignment. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.09598v1
Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,"Haozhen Zhang, Haodong Yue, Tao Feng, Quanyu Long, Jianzhu Bao, Bowen Jin, Weizhi Zhang, Xiao Li, Jiaxuan You, Chengwei Qin, Wenya Wang",2026,ArXiv,arXiv:2602.06025v1,Policy|Memory|Reasoning|Verifier|Architecture,"This work addresses Memory is increasingly central to Large Language Model (LLM) agents operating beyond a single context window, yet most existing systems rely on offline, query-agnostic memory construction that can be inefficient and may discard query-critical information. It proposes In this work, we present \textbf{BudgetMem}, a runtime agent memory framework for explicit, query-aware performance-cost control. The evaluation reports that The reported evaluations compare against baselines and analyze gains in interactive decision performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.06025v1
Length-Unbiased Sequence Policy Optimization: Revealing and Controlling Response Length Variation in RLVR,"Fanfan Liu, Youyang Yin, Peng Shi, Siqi Yang, Zhixiong Zeng, Haibo Qiu",2026,ArXiv,arXiv:2602.05261v1,Policy|Reward|Reasoning|Verifier|Architecture,"This work addresses Recent applications of Reinforcement Learning with Verifiable Rewards (RLVR) to Large Language Models (LLMs) and Vision-Language Models (VLMs) have demonstrated significant success in enhancing reasoning capabilities for complex tasks. It proposes However, the patterns of change in response length vary significantly across different RLVR algorithms during the training process. The evaluation reports that Recent applications of Reinforcement Learning with Verifiable Rewards (RLVR) to Large Language Models (LLMs) and Vision-Language Models (VLMs) have demonstrated significant success in enhancing reasoning capabilities for complex tasks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05261v1
LLM-Based Scientific Equation Discovery via Physics-Informed Token-Regularized Policy Optimization,"Boxiao Wang, Kai Li, Tianyi Liu, Chen Li, Junzhe Wang, Yifan Zhang, Jian Cheng",2026,ArXiv,arXiv:2602.10576v1,Policy|CreditAssignment|Exploration|ToolUse|LanguageConditioning|Architecture,"This work addresses Symbolic regression aims to distill mathematical equations from observational data. It proposes Recent approaches have successfully leveraged Large Language Models (LLMs) to generate equation hypotheses, capitalizing on their vast pre-trained scientific priors. The evaluation reports that Recent approaches have successfully leveraged Large Language Models (LLMs) to generate equation hypotheses, capitalizing on their vast pre-trained scientific priors. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.10576v1
LLMOrbit: A Circular Taxonomy of Large Language Models -From Scaling Walls to Agentic AI Systems,"Badri N. Patro, Vijay S. Agneeswaran",2026,ArXiv,arXiv:2601.14053v1,Policy|Memory|Reasoning|Verifier|MultiAgent|Architecture|HybridRL,This work addresses The field of artificial intelligence has undergone a revolution from foundational Transformer architectures to reasoning-capable systems approaching human-level performance. It proposes The field of artificial intelligence has undergone a revolution from foundational Transformer architectures to reasoning-capable systems approaching human-level performance. The evaluation reports that The reported evaluations compare against baselines and analyze gains in interactive decision performance. It includes RL-agent improvements while also touching LLM post-training or alignment components.,"The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2601.14053v1
Look Inward to Explore Outward: Learning Temperature Policy from LLM Internal States via Hierarchical RL,"Yixiao Zhou, Yang Li, Dongzhou Cheng, Hehe Fan, Yu Cheng",2026,ArXiv,arXiv:2602.13035v1,Policy|Reward|CreditAssignment|Exploration|Reasoning|Verifier|Architecture,"This work addresses Reinforcement Learning from Verifiable Rewards (RLVR) trains large language models (LLMs) from sampled trajectories, making decoding strategy a core component of learning rather than a purely inference-time choice. It proposes Sampling temperature directly controls the exploration--exploitation trade-off by modulating policy entropy, yet existing methods rely on static values or heuristic adaptations that are decoupled from task-level rewards. The evaluation reports that At each decoding step, the model selects a temperature based on its hidden state and samples the next token from the resulting distribution. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.13035v1
MARTI-MARS$^2$: Scaling Multi-Agent Self-Search via Reinforcement Learning for Code Generation,"Shijie Wang, Pengfei Li, Yikun Fu, Kaifeng Liu, Fangyuan Li, Yang Liu, Xiaowei Sun, Zonglin Li, Siyao Zhao, Jian Zhao, Kai Tian, Dong Li, Junqi Gao, Yutong Zhang, Yiqun Chen, Yuqiang Li, Zoe Li, Weinan Zhang, Peng Ye, Shuyue Hu, Lei Bai, Bowen Zhou, Kaiyan Zhang, Biqing Qi",2026,ArXiv,arXiv:2602.07848v1,Policy|Exploration|Reasoning|TreeSearch|Verifier|LanguageConditioning|MultiAgent|Architecture|AgentTraining,"This work addresses While the complex reasoning capability of Large Language Models (LLMs) has attracted significant attention, single-agent systems often encounter inherent performance ceilings in complex tasks such as code generation. It proposes However, existing frameworks typically rely on prompt-based test-time interactions or multi-role configurations trained with homogeneous parameters, limiting error correction capabilities and strategic diversity. The evaluation reports that We conduct extensive experiments across varied model scales (8B, 14B, and 32B) on challenging code generation benchmarks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.07848v1
