Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey
Informing reinforcement learning agents by grounding language to Markov decision processes,"Brett A. Spiegel, Zhaoming Yang, William Jurayj, Benjamin Bachmann, Stefanie Tellex, George Konidaris",2024,Workshop on Training Agents with Foundation Models at RLC 2024,OpenReview:uFm9e4Ly26,Policy|Reward|Architecture,"This work introduces RLang, a formal language designed to express each element of a Markov decision process including dynamics, rewards, and policies. The method uses language grounding so natural-language task information can be translated into structured MDP representations. This work studies Informing reinforcement learning agents by grounding language to Markov decision processes in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
LLM-based Multi-Agent Reinforcement Learning: Current and Future Directions,"Chuanneng Sun, Songjun Huang, D. Pompili",2024,ArXiv,10.48550/arxiv.2405.11106,Policy|MultiAgent|Architecture,"In recent years, Large Language Models (LLMs) have shown great abilities in various tasks, including question answering, arithmetic problem solving, and poem writing, among others. Although research on LLM-as-an-agent has shown that LLM can be applied to Reinforcement Learning (RL) and achieve decent results, the extension of LLM-based RL to Multi-Agent System (MAS) is not trivial, as many aspects, such as coordination and. This work studies LLM-based Multi-Agent Reinforcement Learning: Current and Future Directions in the context of reinforcement learning with language-enabled models.","The paper places an language model policy inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks,"Murtaza Dalal, Tarun Chiruvolu, Devendra Singh Chaplot, Ruslan Salakhutdinov",2024,ArXiv,10.48550/arxiv.2405.01534,Policy|Planning|Simulation|Architecture,"Large Language Models (LLMs) have been shown to be capable of performing high-level planning for long-horizon robotics tasks, yet existing methods require access to a pre-defined skill library (eg picking, placing, pulling, pushing, navigating). We demonstrate that PSL achieves state-of-the-art results on over 25 challenging robotics tasks with up to 10 stages. This work studies Plan-Seq-Learn: Language Model Guided RL for Solving Long Horizon Robotics Tasks in the context of reinforcement learning with language-enabled models.","The paper places an LLM planner inside an RL training or execution loop. This directly targets task planning for control, which fits an LLM-in-the-RL-loop survey scope."
Recursive Introspection: Teaching Language Model Agents How to Self-Improve,"Yuxiao Qu, Tianjun Zhang, Naman Garg, Aviral Kumar",2024,ArXiv,10.48550/arxiv.2407.18219,Policy|Reward|CreditAssignment|Reasoning|LanguageConditioning|Architecture|HybridRL,"Our approach prescribes an iterative fine-tuning procedure, which attempts to teach the model how to alter its response after having executed previously unsuccessful attempts to solve a hard test-time problem, with optionally additional environment. In this paper, we develop RISE: Recursive IntroSpEction, an approach for fine-tuning LLMs to introduce this capability, despite prior work hypothesizing that this capability may not be possible to attain. Even the strongest proprietary large language models (LLMs) do not quite exhibit the ability of continually improving their responses sequentially, even in scenarios where they are explicitly told that they are making a mistake.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets credit assignment over long horizons, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
ReFT: Reasoning with Reinforced Fine-Tuning,"Trung Quoc Luong, Xinbo Zhang, Zhanming Jie, Peng Sun, Xiaoran Jin, Hang Li",2024,ArXiv,10.48550/arxiv.2401.08967,Reward|DatasetGeneration|Reasoning|Architecture|HybridRL,"In math problem-solving, for example, there is usually only one annotated reasoning path for each question in the training data. This approach does not show sufficiently strong generalization ability, however, because the training only relies on the given CoT data. Extensive experiments on GSM8K, MathQA, and SVAMP datasets show that ReFT significantly outperforms SFT, and the performance can be potentially further boosted by combining inference-time strategies such as majority voting and re-ranking.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
ReST-MCTS*: LLM Self-Training via Process Reward Guided Tree Search,"Dan Zhang, Sining Zhoubian, Yisong Yue, Yuxiao Dong, Jie Tang",2024,ArXiv,10.48550/arxiv.2406.03816,Policy|Planning|Reward|Reasoning|TreeSearch|Verifier|Architecture|HybridRL,"Recent methodologies in LLM self-training mostly rely on LLM generating responses and filtering those with correct output answers as training data. We first show that the tree-search policy in ReST-MCTS* achieves higher accuracy compared with prior LLM reasoning baselines such as Best-of-N and Tree-of-Thought, within the same search budget. This work studies ReST-MCTS*: LLM Self-Training via Process Reward Guided Tree Search in the context of reinforcement learning with language-enabled models.","The paper places an LLM planner inside an RL training or execution loop. This directly targets reward quality for policy optimization, task planning for control, which fits an LLM-in-the-RL-loop survey scope."
RLEF: Grounding Code LLMs in Execution Feedback with Reinforcement Learning,"Jonas Gehring, Kunhao Zheng, Jade Copet, Vegard Mella, Taco Cohen, Gabriele Synnaeve",2024,ArXiv,10.48550/arxiv.2410.02089,Policy|Reward|Architecture,"Large language models (LLMs) deployed as agents solve user-specified tasks over multiple steps while keeping the required manual engagement to a minimum. We propose an end-to-end reinforcement learning method for teaching models to leverage execution feedback in the realm of code synthesis, where state-of-the-art LLMs struggle to improve code iteratively compared to independent sampling. Crucially, such LLMs need to ground their generations in any feedback obtained to reliably achieve the desired outcomes.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
STARLING: Self-supervised Training of Text-based Reinforcement Learning Agent with Large Language Models,"Shreyas Basavatia, Keerthiram Murugesan, Shivam Ratnakar",2024,ArXiv,10.48550/arxiv.2406.05872,Policy|Architecture|AgentTraining,"Interactive fiction games have emerged as an important application to improve the generalization capabilities of language-based reinforcement learning (RL) agents. In this work, we introduce an interactive environment for self-supervised RL, STARLING, for text-based games that bootstraps the text-based RL agents with automatically generated games (based on the seed set of game ideas) to boost the performance. This work studies STARLING: Self-supervised Training of Text-based Reinforcement Learning Agent with Large Language Models in the context of reinforcement learning with language-enabled models.","The paper places an language model policy inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
"Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods","Yuji Cao, Huan Zhao, Yuheng Cheng, Ting Shu, Yue Chen, Guolong Liu, Gaoqi Liang, Junhua Zhao, Jinyue Yan, Yun Li",2024,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2024.3497992,Policy|Planning|Reward|Simulation|Architecture,"With extensive pretrained knowledge and high-level general capabilities, large language models (LLMs) emerge as a promising avenue to augment reinforcement learning (RL) in aspects, such as multitask learning, sample efficiency, and high-level task. In this survey, we provide a comprehensive review of the existing literature in LLM-enhanced RL and summarize its characteristics compared with conventional RL methods, aiming to clarify the research scope and directions for future studies. This work studies Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods in the context of reinforcement learning with language-enabled models.","The paper places an LLM planner inside an RL training or execution loop. This directly targets reward quality for policy optimization, task planning for control, which fits an LLM-in-the-RL-loop survey scope."
Teaching Large Language Models to Reason with Reinforcement Learning,"Alex Havrilla, Yuqing Du, S. Raparthy, Christoforos Nalmpantis, Jane Dwivedi-Yu, Maksym Zhuravinskyi, Eric Hambro, Sainbayar Sukhbaatar, R. Raileanu",2024,ArXiv,10.48550/arxiv.2403.04642,Policy|Reward|Exploration|Reasoning|Verifier|Architecture|HybridRL,"Reinforcement Learning from Human Feedback (\textbf{RLHF}) has emerged as a dominant approach for aligning LLM outputs with human preferences. Inspired by the success of RLHF, we study the performance of multiple algorithms that learn from feedback (Expert Iteration, Proximal Policy Optimization (\textbf{PPO}), Return-Conditioned RL) on improving LLM reasoning capabilities. This work studies Teaching Large Language Models to Reason with Reinforcement Learning in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Training Language Models to Self-Correct via Reinforcement Learning,"Aviral Kumar, Vincent Zhuang, Rishabh Agarwal, Yi Su, John D. Co-Reyes, Avi Singh, Kate Baumli, Shariq Iqbal, Colton Bishop, Rebecca Roelofs, Lei M. Zhang, Kay McKinney, Disha Shrivastava, Cosmin Paduraru, George Tucker, D. Precup, Feryal M. P. Behbahani, Aleksandra Faust",2024,ArXiv,10.48550/arxiv.2409.12917,Policy|Reward|CreditAssignment|LanguageConditioning|Architecture|HybridRL,"In particular, we observe that training via SFT falls prey to either a distribution mismatch between mistakes made by the data-collection policy and the model's own responses, or to behavior collapse, where learning implicitly prefers only a certain. Current methods for training self-correction typically depend on either multiple models, a more advanced model, or additional forms of supervision. To address these shortcomings, we develop a multi-turn online reinforcement learning (RL) approach, SCoRe, that significantly improves an LLM's self-correction ability using entirely self-generated data.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets credit assignment over long horizons, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,"Zehan Qi, Xiao Liu, Iat Long Iong, Hanyu Lai, Xueqiao Sun, Xinyue Yang, Jiadai Sun, Yu Yang, Shuntian Yao, Wei Xu, Jie Tang, Yuxiao Dong",2024,ArXiv,10.48550/arxiv.2411.02337,Policy|Reward|ToolUse|Verifier|Curriculum|Architecture|AgentTraining,"Large language models (LLMs) have shown remarkable potential as autonomous agents, particularly in web-based tasks. This paper introduces WebRL, a self-evolving online curriculum reinforcement learning framework designed to train high-performance web agents using open LLMs. Specifically, WebRL incorporates 1) a self-evolving curriculum that generates new tasks from unsuccessful attempts, 2) a robust outcome-supervised reward model (ORM), and 3) adaptive reinforcement learning strategies to ensure consistent.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, tool-interactive decision quality, which fits an LLM-in-the-RL-loop survey scope."
Collaborating with language models for embodied reasoning,"Ishita Dasgupta, Christine Kaeser-Chen, Kenneth Marino, Arun Ahuja, Sheila Babayan, Felix Hill, R. Fergus",2023,ArXiv,10.48550/arxiv.2302.00763,Policy|Planning|Reasoning|Architecture,"Reasoning in a complex and ambiguous environment is a key goal for Reinforcement Learning (RL) agents. We present a set of tasks that require reasoning, test this system's ability to generalize zero-shot and investigate failure cases, and demonstrate how components of this system can be trained with reinforcement-learning to improve performance. While some sophisticated RL agents can successfully solve difficult tasks, they require a large amount of training data and often struggle to generalize to new unseen environments and new tasks.","The paper places an LLM planner inside an RL training or execution loop. This directly targets task planning for control, which fits an LLM-in-the-RL-loop survey scope."
Do Embodied Agents Dream of Pixelated Sheep?: Embodied Decision Making using Language Guided World Modelling,"Kolby Nottingham, Prithviraj Ammanabrolu, Alane Suhr, Yejin Choi, Hannaneh Hajishirzi, Sameer Singh, Roy Fox",2023,ArXiv,10.48550/arxiv.2301.12050,Policy|Planning|WorldModel|Exploration|Simulation|Verifier|Architecture,"However, if initialized with knowledge of high-level subgoals and transitions between subgoals, RL agents could utilize this Abstract World Model (AWM) for planning and exploration. We propose using few-shot large language models (LLMs) to hypothesize an AWM, that will be verified through world experience, to improve sample efficiency of RL agents. This work studies Do Embodied Agents Dream of Pixelated Sheep?: Embodied Decision Making using Language Guided World Modelling in the context of reinforcement learning with language-enabled models.","The paper places an LLM planner inside an RL training or execution loop. This directly targets exploration efficiency, task planning for control, which fits an LLM-in-the-RL-loop survey scope."
Driving with LLMs: Fusing Object-Level Vector Modality for Explainable Autonomous Driving,"Long Chen, Oleg Sinavski, Jan Hunermann, Alice Karnsund, Andrew J Willmott, Danny Birch, Daniel Maund, Jamie Shotton",2023,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611018,Policy|Exploration|DatasetGeneration|Simulation|Architecture,"We also introduce an evaluation metric for Driving QA and demonstrate our LLM-drivers proficiency in interpreting driving scenarios, answering questions, and decision-making. We introduce a unique objectlevel multimodal LLM architecture that merges vectorized numeric modalities with a pre-trained LLM to improve context understanding in driving situations. This work studies Driving with LLMs: Fusing Object-Level Vector Modality for Explainable Autonomous Driving in the context of reinforcement learning with language-enabled models.","The paper places an language model policy inside an RL training or execution loop. This directly targets exploration efficiency, which fits an LLM-in-the-RL-loop survey scope."
Eureka: Human-Level Reward Design via Coding Large Language Models,"Yecheng Jason Ma, William Liang, Guanzhi Wang, De-An Huang, Osbert Bastani, Dinesh Jayaraman, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,ArXiv,10.48550/arxiv.2310.12931,Policy|Planning|Reward|ToolUse|Simulation|Curriculum|LanguageConditioning|Architecture|HybridRL,"Large Language Models (LLMs) have excelled as high-level semantic planners for sequential decision-making tasks. We bridge this fundamental gap and present Eureka, a human-level reward design algorithm powered by LLMs. Eureka exploits the remarkable zero-shot generation, code-writing, and in-context improvement capabilities of state-of-the-art LLMs, such as GPT-4, to perform evolutionary optimization over reward code.","The paper places an LLM planner inside an RL training or execution loop. This directly targets reward quality for policy optimization, tool-interactive decision quality, which fits an LLM-in-the-RL-loop survey scope."
Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,"Thomas Carta, Clement Romac, Thomas Wolf, S. Lamprier, Olivier Sigaud, Pierre-Yves Oudeyer",2023,ArXiv,10.48550/arxiv.2302.02662,Policy|Architecture|HybridRL,"Recent works successfully leveraged Large Language Models' (LLM) abilities to capture abstract knowledge about world's physics to solve decision-making problems. In this paper, we study an approach (named GLAM) to achieve this alignment through functional grounding: we consider an agent using an LLM as a policy that is progressively updated as the agent interacts with the environment, leveraging online. This work studies Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning in the context of reinforcement learning with language-enabled models.","The paper places an language model policy inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Guiding Pretraining in Reinforcement Learning with Large Language Models,"Yuqing Du, Olivia Watkins, Wang, Cedric Colas, Trevor Darrell, P. Abbeel, Abhishek Gupta, Jacob Andreas",2023,ArXiv,10.48550/arxiv.2302.06692,Policy|Reward|Exploration|Simulation|LanguageConditioning|Architecture,"Intrinsically motivated exploration methods address this limitation by rewarding agents for visiting novel states or transitions, but these methods offer limited benefits in large environments where most discovered novelty is irrelevant for. Reinforcement learning algorithms typically struggle in the absence of a dense, well-shaped reward function. This method, called ELLM (Exploring with LLMs) rewards an agent for achieving goals suggested by a language model prompted with a description of the agent's current state.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Language Instructed Reinforcement Learning for Human-AI Coordination,"Hengyuan Hu, Dorsa Sadigh",2023,ArXiv,10.48550/arxiv.2304.07297,Policy|Reward|LanguageConditioning|MultiAgent|Architecture,"This problem is challenging, especially in domains that lack high quality human behavioral data, because multi-agent reinforcement learning (RL) often converges to different equilibria from the ones that humans prefer. We propose a novel framework, instructRL, that enables humans to specify what kind of strategies they expect from their AI partners through natural language instructions. We show that instructRL converges to human-like policies that satisfy the given instructions in a proof-of-concept environment as well as the challenging Hanabi benchmark.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Language Models can Solve Computer Tasks,"Geunwoo Kim, P. Baldi, S. McAleer",2023,ArXiv,10.48550/arxiv.2303.17491,Policy|Reward|Reasoning|Verifier|LanguageConditioning|Architecture|HybridRL,"Agents capable of carrying out general tasks on a computer can improve efficiency and productivity by automating repetitive tasks and assisting in complex problem-solving. However, previous approaches to this problem require large amounts of expert demonstrations and task-specific reward functions, both of which are impractical for new tasks. This work studies Language Models can Solve Computer Tasks in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Language to Rewards for Robotic Skill Synthesis,"Wenhao Yu, Nimrod Gileadi, Chuyuan Fu, Sean Kirmani, Kuang-Huei Lee, Montse Gonzalez Arenas, H. Chiang, Tom Erez, Leonard Hasenclever, Jan Humplik, Brian Ichter, Ted Xiao, Peng Xu, Andy Zeng, Tingnan Zhang, N. Heess, Dorsa Sadigh, Jie Tan, Yuval Tassa, F. Xia",2023,ArXiv,10.48550/arxiv.2306.08647,Planning|Reward|Exploration|Reasoning|Simulation|LanguageConditioning|Architecture,"On the other hand, reward functions are shown to be flexible representations that can be optimized for control policies to achieve diverse tasks, while their semantic richness makes them suitable to be specified by LLMs. In this work, we introduce a new paradigm that harnesses this realization by utilizing LLMs to define reward parameters that can be optimized and accomplish variety of robotic tasks. This work studies Language to Rewards for Robotic Skill Synthesis in the context of reinforcement learning with language-enabled models.","The paper places an LLM planner inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
LanGWM: Language Grounded World Model,"Rudra P. K. Poudel, Harit Pandya, Chao Zhang, Roberto Cipolla",2023,ArXiv,10.48550/arxiv.2311.17593,WorldModel|Simulation|LanguageConditioning|Architecture,"Recent advances in deep reinforcement learning have showcased its potential in tackling complex tasks. Subsequently, we predict the masked objects along with the surrounding regions as pixel reconstruction, similar to the transformer-based masked autoencoder approach. However, experiments on visual control tasks have revealed that state-of-the-art reinforcement learning models struggle with out-of-distribution generalization.","The paper places an language-grounded world model inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Large Language Models as Generalizable Policies for Embodied Tasks,"Andrew Szot, Max Schwarzer, Harsh Agrawal, Bogdan Mazoure, Walter Talbott, Katherine Metcalf, Natalie Mackraz, Devon Hjelm, Alexander Toshev",2023,ArXiv,10.48550/arxiv.2310.17722,Policy|LanguageConditioning|Architecture,"We show that large language models (LLMs) can be adapted to be generalizable policies for embodied visual tasks. Our approach, called Large LAnguage model Reinforcement Learning Policy (LLaRP), adapts a pre-trained frozen LLM to take as input text instructions and visual egocentric observations and output actions directly in the environment. In particular, on 1,000 unseen tasks it achieves 42% success rate, 1.7x the success rate of other common learned baselines or zero-shot applications of LLMs.","The paper places an language model policy inside an RL training or execution loop. This directly targets agent performance in sequential decision tasks, which fits an LLM-in-the-RL-loop survey scope."
Learning to Generate Better Than Your LLM,"Jonathan D. Chang, Kiante Brantley, Rajkumar Ramamurthy, Dipendra Kumar Misra, Wen Sun",2023,ArXiv,10.48550/arxiv.2306.11816,Policy|Reward|ToolUse|Architecture|HybridRL,"We experiment on the IMDB positive sentiment, CommonGen, and TL;DR summarization tasks. Capitalizing on key properties of text generation, we seek to investigate RL algorithms beyond general purpose algorithms like Proximal Policy Optimization (PPO). This work studies Learning to Generate Better Than Your LLM in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, tool-interactive decision quality, which fits an LLM-in-the-RL-loop survey scope."
Motif: Intrinsic Motivation from Artificial Intelligence Feedback,"Martin Klissarov, P. D'Oro, Shagun Sodhani, R. Raileanu, Pierre-Luc Bacon, Pascal Vincent, Amy Zhang, Mikael Henaff",2023,ArXiv,10.48550/arxiv.2310.00166,Policy|Reward|LanguageConditioning|Architecture|AgentTraining,"Motif is based on the idea of grounding LLMs for decision-making without requiring them to interact with the environment: it elicits preferences from an LLM over pairs of captions to construct an intrinsic reward, which is then used to train agents. In this paper, we propose Motif, a general method to interface such prior knowledge from a Large Language Model (LLM) with an agent. We evaluate Motif's performance and behavior on the challenging, open-ended and procedurally-generated NetHack game.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents,"Yang Deng, Wenxuan Zhang, Wai Lam, See-Kiong Ng, Tat-Seng Chua",2023,ArXiv,10.48550/arxiv.2311.00262,Policy|Planning|Reward|Simulation|LanguageConditioning|Architecture|HybridRL,"Proactive dialogues serve as a practical yet challenging dialogue problem in the era of large language models (LLMs), where the dialogue policy planning is the key to improving the proactivity of LLMs. However, these approaches are either bounded by the policy planning capability of the frozen LLMs or hard to be transferred to new cases. This work studies Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents in the context of reinforcement learning with language-enabled models.","The paper places an LLM planner inside an RL training or execution loop. This directly targets reward quality for policy optimization, task planning for control, which fits an LLM-in-the-RL-loop survey scope."
Reflexion: language agents with verbal reinforcement learning,"Noah Shinn, Federico Cassano, Beck Labash, A. Gopinath, Karthik Narasimhan, Shunyu Yao",2023,ArXiv,10.48550/arxiv.2303.11366,Policy|Reward|ToolUse|Memory|Reasoning|Architecture|HybridRL,"Large language models (LLMs) have been increasingly used to interact with external environments (eg, games, compilers, APIs) as goal-driven agents. However, it remains challenging for these language agents to quickly and efficiently learn from trial-and-error as traditional reinforcement learning methods require extensive training samples and expensive model fine-tuning. Reflexion is flexible enough to incorporate various types (scalar values or free-form language) and sources (external or internally simulated) of feedback signals, and obtains significant improvements over a baseline agent across diverse tasks.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, tool-interactive decision quality, which fits an LLM-in-the-RL-loop survey scope."
ReST meets ReAct: Self-Improvement for Multi-Step Reasoning LLM Agent,"Renat Aksitov, Sobhan Miryoosefi, Zong-xiao Li, Daliang Li, Sheila Babayan, Kavya Kopparapu, Zachary Fisher, Ruiqi Guo, Sushant Prakash, Pranesh Srinivasan, M. Zaheer, Felix X. Yu, Sanjiv Kumar",2023,ArXiv,10.48550/arxiv.2312.10003,Policy|Reward|Reasoning|LanguageConditioning|Architecture|AgentTraining,"We further refine the agent through a ReST-like method that iteratively trains on previous trajectories, employing growing-batch reinforcement learning with AI feedback for continuous self-improvement and self-distillation. This work studies ReST meets ReAct: Self-Improvement for Multi-Step Reasoning LLM Agent in the context of reinforcement learning with language-enabled models. The method emphasizes Policy and Reward to improve decision quality under sequential interaction.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics,"Jiayang Song, Zhehua Zhou, Jiawei Liu, Chunrong Fang, Zhan Shu, Lei Ma",2023,ArXiv,10.48550/arxiv.2309.06687,Planning|Reward|Reasoning|Simulation|LanguageConditioning|Architecture,"Although Deep Reinforcement Learning (DRL) has achieved notable success in numerous robotic applications, designing a high-performing reward function remains a challenging task that often requires substantial manual input. Motivated by this, we propose in this work a novel LLM framework with a self-refinement mechanism for automated reward function design. This work studies Self-Refined Large Language Model as Automated Reward Function Designer for Deep Reinforcement Learning in Robotics in the context of reinforcement learning with language-enabled models.","The paper places an LLM planner inside an RL training or execution loop. This directly targets reward quality for policy optimization, task planning for control, which fits an LLM-in-the-RL-loop survey scope."
Text2Reward: Reward Shaping with Language Models for Reinforcement Learning,"Tianbao Xie, Siheng Zhao, Chen Henry Wu, Yitao Liu, Qian Luo, Victor Zhong, Yanchao Yang, Tao Yu",2023,ArXiv,10.48550/arxiv.2309.11489,Reward|ToolUse|Simulation|LanguageConditioning|Architecture,"Designing reward functions is a longstanding challenge in reinforcement learning (RL); it requires specialized knowledge or domain data, leading to high costs for development. To address this, we introduce Text2Reward, a data-free framework that automates the generation and shaping of dense reward functions based on large language models (LLMs). We evaluate Text2Reward on two robotic manipulation benchmarks (ManiSkill2, MetaWorld) and two locomotion environments of MuJoCo.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, tool-interactive decision quality, which fits an LLM-in-the-RL-loop survey scope."
Vision-Language Models are Zero-Shot Reward Models for Reinforcement Learning,"Juan Rocamonde, Victoriano Montesinos, Elvis Nava, Ethan Perez, David Lindner",2023,ArXiv,10.48550/arxiv.2310.12921,Policy|Reward|Reasoning|Simulation|Verifier|LanguageConditioning|Architecture|AgentTraining,"We study a more sample-efficient alternative: using pretrained vision-language models (VLMs) as zero-shot reward models (RMs) to specify tasks via natural language. We propose a natural and general approach to using VLMs as reward models, which we call VLM-RMs. We can improve performance by providing a second""baseline""prompt and projecting out parts of the CLIP embedding space irrelevant to distinguish between goal and baseline.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
WizardMath: Empowering Mathematical Reasoning for Large Language Models via Reinforced Evol-Instruct,"Haipeng Luo, Qingfeng Sun, Can Xu, Pu Zhao, Jian-Guang Lou, Chongyang Tao, Xiubo Geng, Qingwei Lin, Shifeng Chen, Dongmei Zhang",2023,ArXiv,10.48550/arxiv.2308.09583,Reward|Exploration|Reasoning|LanguageConditioning|Architecture,"Large language models (LLMs), such as GPT-4, have shown remarkable performance in natural language processing (NLP) tasks, including challenging mathematical reasoning. In this paper, we present WizardMath, which enhances the mathematical CoT reasoning abilities of LLMs without using external python tools, by applying our proposed Reinforcement Learning from Evol-Instruct Feedback (RLEIF) method to the domain of. Through extensive experiments on two mathematical reasoning benchmarks, namely GSM8k and MATH, we reveal the extraordinary capabilities of our model.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets exploration efficiency, reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
Can Wikipedia Help Offline Reinforcement Learning?,"Machel Reid, Yutaro Yamada, Shixiang Shane Gu",2022,ArXiv,10.48550/arxiv.2201.12122,Reward|DatasetGeneration|OfflineRL|Architecture|HybridRL,"In this paper, we look to take advantage of this formulation of reinforcement learning as sequence modeling and investigate the transferability of pre-trained sequence models on other domains (vision, language) when finetuned on offline RL tasks. Recent work has looked at tackling offline RL from the perspective of sequence modeling with improved results as result of the introduction of the Transformer architecture. This work studies Can Wikipedia Help Offline Reinforcement Learning? in the context of reinforcement learning with language-enabled models.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, offline policy learning, which fits an LLM-in-the-RL-loop survey scope."
"Is Reinforcement Learning (Not) for Natural Language Processing?: Benchmarks, Baselines, and Building Blocks for Natural Language Policy Optimization","Rajkumar Ramamurthy, Prithviraj Ammanabrolu, Kiante Brantley, Jack Hessel, R. Sifa, C. Bauckhage, Hannaneh Hajishirzi, Yejin Choi",2022,ArXiv,10.48550/arxiv.2210.01241,Policy|Reward|LanguageConditioning|Architecture|HybridRL,"We tackle the problem of aligning pre-trained large language models (LMs) with human preferences. If we view text generation as a sequential decision-making problem, reinforcement learning (RL) appears to be a natural conceptual framework. However, using RL for LM-based generation faces empirical challenges, including training instability due to the combinatorial action space, as well as a lack of open-source libraries and benchmarks customized for LM alignment.","The paper places an LLM/VLM reward and feedback module inside an RL training or execution loop. This directly targets reward quality for policy optimization, which fits an LLM-in-the-RL-loop survey scope."
LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,"Chan Hee Song, Jiaman Wu, Clay Washington, Brian M. Sadler, Wei-Lun Chao, Yu Su",2022,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00280,Policy|Planning|DatasetGeneration|LanguageConditioning|Architecture,"This study focuses on using large language models (LLMs) as a planner for embodied agents that can follow natural language instructions to complete complex tasks in a visually-perceived environment. The high data cost and poor sample efficiency of existing methods hinders the development of versatile agents that are capable of many tasks and can learn new tasks quickly. Experiments on the ALFRED dataset show that our method can achieve very competitive few-shot performance: Despite using less than 0.5% of paired training data, LLM-Planner achieves competitive performance with recent baselines that are trained using.","The paper places an LLM planner inside an RL training or execution loop. This directly targets task planning for control, which fits an LLM-in-the-RL-loop survey scope."
