RefNo,Title,ArXiv,DOI,YearGuess,RawText
132,,,,2022,"M. Reid, Y. Yamada, and S. S. Gu, “Can Wikipedia Help Offline Reinforcement Learning?” Jul. 2022."
133,,2004.07219,,2020,"J. Fu, A. Kumar, O. Nachum, G. Tucker, and S. Levine, “D4rl: Datasets for deep data-driven reinforcement learning,” arXiv preprint arXiv:2004.07219, 2020."
134,,2304.11063,,2023,"L. Mezghani, P. Bojanowski, K. Alahari, and S. Sukhbaatar, “Think before you act: Unified policy for interleaving language reasoning with actions,” arXiv preprint arXiv:2304.11063, 2023."
135,,,,2023,"B. Zitkovich, T. Yu, S. Xu, P. Xu, T. Xiao, F. Xia, J. Wu, P. Wohlhart et al., “Rt-2: Vision-language-action models transfer web knowledge to robotic control,” in Conference on Robot Learning. PMLR, 2023, pp. 2165–2183."
136,,2010.02903,,2020,"S. Yao, R. Rao, M. Hausknecht, and K. Narasimhan, “Keep calm and explore: Language models for action generation in text-based games,” arXiv preprint arXiv:2010.02903, 2020."
137,,,,2020,"M. Hausknecht, P. Ammanabrolu, M.-A. Côté, and X. Yuan, “Interactive fiction games: A colossal adventure,” in Proceedings of the AAAI Conference on Artificial Intelligence, vol. 34, no. 05, 2020, pp. 7903– 7910."
138,,,,2023,"H. Hu and D. Sadigh, “Language Instructed Reinforcement Learning for Human-AI Coordination,” Jun. 2023."
139,,2311.13373,,2023,"Z. Zhou, B. Hu, P. Zhang, C. Zhao, and B. Liu, “Large language model is a good policy teacher for training reinforcement learning agents,” arXiv preprint arXiv:2311.13373, 2023."
140,,,,2024,"M. Dalal, T. Chiruvolu, D. S. Chaplot, and R. Salakhutdinov, “Plan-seq-learn: Language model guided RL for solving long horizon robotics tasks,” in The Twelfth International Conference on Learning Representations, 2024. [Online]. Available: https: //openreview.net/forum?id=hQVCCxQrYN"
141,,,,2015,"J. Garcıa and F. Fernández, “A comprehensive survey on safe reinforcement learning,” Journal of Machine Learning Research, vol. 16, no. 1, pp. 1437–1480, 2015."
142,,,,2022,"H. Xu, X. Zhan, and X. Zhu, “Constraints penalized q-learning for safe offline reinforcement learning,” in Proceedings of the AAAI Conference on Artificial Intelligence, vol. 36, no. 8, 2022, pp. 8753–8760."
143,,2204.08957,,2022,"J. Lee, C. Paduraru, D. J. Mankowitz, N. Heess, D. Precup, K.-E. Kim, and A. Guez, “Coptidice: Offline constrained reinforcement learning via stationary distribution correction estimation,” arXiv preprint arXiv:2204.08957, 2022."
144,,,,2023,"Z. Liu, Z. Guo, Y. Yao, Z. Cen, W. Yu, T. Zhang, and D. Zhao, “Constrained decision transformer for offline safe reinforcement learning,” in International Conference on Machine Learning. PMLR, 2023, pp. 21 611–21 630."
145,,2311.10538,,2023,"S. Naihin, D. Atkinson, M. Green, M. Hamadi, C. Swift, D. Schonholtz, A. T. Kalai, and D. Bau, “Testing language model agents safely in the wild,” arXiv preprint arXiv:2311.10538, 2023."
146,,,,2024,"W. Huang, H. Liu, Z. Huang, and C. Lv, “Safety-aware human-inthe-loop reinforcement learning with shared control for autonomous driving,” IEEE Transactions on Intelligent Transportation Systems, pp. 1–12, 2024."
147,,,,2023,"N. Shinn, F. Cassano, E. Berman, A. Gopinath, K. Narasimhan, and S. Yao, “Reflexion: Language Agents with Verbal Reinforcement Learning,” Oct. 2023."
148,,,,2021,"E. J. Hu, Y. Shen, P. Wallis, Z. Allen-Zhu, Y. Li, S. Wang, L. Wang, and W. Chen, “Lora: Low-rank adaptation of large language models,” 2021."
149,,,,2020,"D. Hafner, T. Lillicrap, J. Ba, and M. Norouzi, “Dream to Control: Learning Behaviors by Latent Imagination,” Mar. 2020."
150,,,,2022,"D. Hafner, T. Lillicrap, M. Norouzi, and J. Ba, “Mastering Atari with Discrete World Models,” Feb. 2022."
151,,,,2020,"D. Hafner, T. Lillicrap, J. Ba, and M. Norouzi, “Dream to control: Learning behaviors by latent imagination,” 2020. 21"
152,,,,2022,"Y. Matsuo, Y. LeCun, M. Sahani, D. Precup, D. Silver, M. Sugiyama, E. Uchibe, and J. Morimoto, “Deep learning, reinforcement learning, and world models,” Neural Networks, vol. 152, pp. 267–275, 2022."
153,,,,2021,"L. Chen, K. Lu, A. Rajeswaran, K. Lee, A. Grover, M. Laskin, P. Abbeel, A. Srinivas et al., “Decision transformer: Reinforcement learning via sequence modeling,” Advances in neural information processing systems, vol. 34, pp. 15 084–15 097, 2021."
154,,,,2022,"V. Micheli, E. Alonso, and F. Fleuret, “Transformers are SampleEfficient World Models,” in The Eleventh International Conference on Learning Representations, Sep. 2022."
155,,,,2023,"J. Robine, M. Höftmann, T. Uelwer, and S. Harmeling, “Transformerbased World Models Are Happy With 100k Interactions,” Mar. 2023."
156,,,,2022,"C. Chen, Y.-F. Wu, J. Yoon, and S. Ahn, “TransDreamer: Reinforcement Learning with Transformer World Models,” Feb. 2022."
157,,,,2022,"Y. Seo, K. Lee, S. James, and P. Abbeel, “Reinforcement Learning with Action-Free Pre-Training from Videos,” Jun. 2022."
158,,,,2019,"D. Hafner, T. Lillicrap, I. Fischer, R. Villegas, D. Ha, H. Lee, and J. Davidson, “Learning latent dynamics for planning from pixels,” in International conference on machine learning. PMLR, 2019, pp. 2555–2565."
159,,,,2023,"R. P. K. Poudel, H. Pandya, C. Zhang, and R. Cipolla, “LanGWM: Language Grounded World Model,” Nov. 2023."
160,,,,2022,"S. Milani, N. Topin, M. Veloso, and F. Fang, “A survey of explainable reinforcement learning,” 2022."
161,,,,2023,"D. Das, S. Chernova, and B. Kim, “State2explanation: Concept-based explanations to benefit agent learning and user understanding,” in Thirty-seventh Conference on Neural Information Processing Systems, 2023. [Online]. Available: https://openreview.net/forum?id= xGz0wAIJrS"
162,,2308.01399,,2023,"J. Lin, Y. Du, O. Watkins, D. Hafner, P. Abbeel, D. Klein, and A. Dragan, “Learning to model the world with language,” arXiv preprint arXiv:2308.01399, 2023."
163,,,,2023,"W. Lu, X. Zhao, S. Magg, M. Gromniak, M. Li, and S. Wermterl, “A closer look at reward decomposition for high-level robotic explanations,” in 2023 IEEE International Conference on Development and Learning (ICDL). IEEE, 2023, pp. 429–436."
164,,,,2021,"C. Yu, J. Liu, S. Nemati, and G. Yin, “Reinforcement learning in healthcare: A survey,” ACM Computing Surveys (CSUR), vol. 55, no. 1, pp. 1–36, 2021."
165,,2310.03903,,2023,"S. Agashe, Y. Fan, and X. E. Wang, “Evaluating multi-agent coordination abilities in large language models,” arXiv preprint arXiv:2310.03903, 2023."
166,,2309.10062,,2023,"S. S. Kannan, V. L. Venkatesh, and B.-C. Min, “Smart-llm: Smart multi-agent robot task planning using large language models,” arXiv preprint arXiv:2309.10062, 2023."
167,,,,2023,"O. Slumbers, D. H. Mguni, K. Shao, and J. Wang, “Leveraging large language models for optimised coordination in textual multi-agent reinforcement learning,” 2023."
168,,2405.11106,,2024,"C. Sun, S. Huang, and D. Pompili, “Llm-based multi-agent reinforcement learning: Current and future directions,” arXiv preprint arXiv:2405.11106, 2024."
169,,,,2024,"J. Lee, A. Xie, A. Pacchiano, Y. Chandak, C. Finn, O. Nachum, and E. Brunskill, “Supervised pretraining can learn in-context reinforcement learning,” Advances in Neural Information Processing Systems, vol. 36, 2024."
170,,2403.05911,,2024,"Z. Buçinca, S. Swaroop, A. E. Paluch, S. A. Murphy, and K. Z. Gajos, “Towards optimizing human-centric objectives in ai-assisted decision-making with offline reinforcement learning,” arXiv preprint arXiv:2403.05911, 2024."
171,,2005.11401,,2005,"P. Lewis, E. Perez, A. Piktus, F. Petroni, V. Karpukhin, N. Goyal, H. Küttler, M. Lewis et al., “Retrieval-augmented generation for knowledge-intensive nlp tasks,” 2021. [Online]. Available: https://arxiv.org/abs/2005.11401"
172,,,,2024,"L. Wang, X. Zhang, H. Su, and J. Zhu, “A comprehensive survey of continual learning: theory, method and application,” IEEE Transactions on Pattern Analysis and Machine Intelligence, 2024."
173,,,,2024,"L. Wang, C. Ma, X. Feng, Z. Zhang, H. Yang, J. Zhang, Z. Chen, J. Tang et al., “A survey on large language model based autonomous agents,” Frontiers of Computer Science, vol. 18, no. 6, p. 186345, 2024."
174,,2401.03428,,2024,"Y. Cheng, C. Zhang, Z. Zhang, X. Meng, S. Hong, W. Li, Z. Wang, Z. Wang et al., “Exploring large language model based intelligent agents: Definitions, methods, and prospects,” arXiv preprint arXiv:2401.03428, 2024."
175,,,,2012,"C. B. Browne, E. Powley, D. Whitehouse, S. M. Lucas, P. I. Cowling, P. Rohlfshagen, S. Tavener, D. Perez et al., “A survey of monte carlo tree search methods,” IEEE Transactions on Computational Intelligence and AI in games, vol. 4, no. 1, pp. 1–43, 2012."
176,,2404.13501,,2024,"Z. Zhang, X. Bo, C. Ma, R. Li, X. Chen, Q. Dai, J. Zhu, Z. Dong et al., “A survey on the memory mechanism of large language model based agents,” 2024. [Online]. Available: https://arxiv.org/abs/2404.13501"
177,,2305.15334,,2023,"S. G. Patil, T. Zhang, X. Wang, and J. E. Gonzalez, “Gorilla: Large language model connected with massive apis,” arXiv preprint arXiv:2305.15334, 2023."
178,,2112.09332,,2021,"R. Nakano, J. Hilton, S. Balaji, J. Wu, L. Ouyang, C. Kim, C. Hesse, S. Jain et al., “Webgpt: Browser-assisted question-answering with human feedback,” arXiv preprint arXiv:2112.09332, 2021."
179,,2306.03314,,2023,"Y. Talebirad and A. Nadiri, “Multi-agent collaboration: Harnessing the power of intelligent llm agents,” arXiv preprint arXiv:2306.03314, 2023."
180,,2305.19187,,1918,"Z. Lin, S. Trivedi, and J. Sun, “Generating with confidence: Uncertainty quantification for black-box large language models,” 2024. [Online]. Available: https://arxiv.org/abs/2305.19187"
181,,,,2023,"R. S. Y. C. Tan, Q. Lin, G. H. Low, R. Lin, T. C. Goh, C. C. E. Chang, F. F. Lee, W. Y. Chan et al., “Inferring cancer disease response from radiology reports using large language models with data augmentation and prompting,” Journal of the American Medical Informatics Association, vol. 30, no. 10, pp. 1657–1664, 2023."
182,,,,2023,"Q. Gao, C. Zhao, Y. Sun, T. Xi, G. Zhang, B. Ghanem, and J. Zhang, “A unified continual learning framework with general parameter-efficient tuning,” in Proceedings of the IEEE/CVF International Conference on Computer Vision, 2023, pp. 11 483–11 493."
183,,2305.11170,,2023,"W. Zhou, Y. E. Jiang, R. Cotterell, and M. Sachan, “Efficient prompting via dynamic in-context learning,” 2023. [Online]. Available: https://arxiv.org/abs/2305.11170"
184,,2203.01104,,2022,"Z.-F. Gao, P. Liu, W. X. Zhao, Z.-Y. Lu, and J.-R. Wen, “Parameterefficient mixture-of-experts architecture for pre-trained language models,” 2022. [Online]. Available: https://arxiv.org/abs/2203.01104"
185,,2312.00752,,2024,"A. Gu and T. Dao, “Mamba: Linear-time sequence modeling with selective state spaces,” 2024. [Online]. Available: https: //arxiv.org/abs/2312.00752"
186,,2307.02628,,2023,"L. D. Corro, A. D. Giorno, S. Agarwal, B. Yu, A. Awadallah, and S. Mukherjee, “Skipdecode: Autoregressive skip decoding with batching and caching for efficient llm inference,” 2023. [Online]. Available: https://arxiv.org/abs/2307.02628"
187,,2406.14556,,2024,"Y. Chen, Z. han Ding, Z. Wang, Y. Wang, L. Zhang, and S. Liu, “Asynchronous large language model enhanced planner for autonomous driving,” 2024. [Online]. Available: https://arxiv.org/abs/2406.14556"
188,,2407.07737,,2024,"Z. Charles, A. Ganesh, R. McKenna, H. B. McMahan, N. Mitchell, K. Pillutla, and K. Rush, “Fine-tuning large language models with user-level differential privacy,” 2024. [Online]. Available: https://arxiv.org/abs/2407.07737"
189,,2407.15248,,2024,"E. Cambria, L. Malandri, F. Mercorio, N. Nobani, and A. Seveso, “Xai meets llms: A survey of the relation between explainable ai and large language models,” 2024. [Online]. Available: https: //arxiv.org/abs/2407.15248"
190,,2405.15589,,2024,"S. Xhonneux, A. Sordoni, S. Günnemann, G. Gidel, and L. Schwinn, “Efficient adversarial training in llms with continuous attacks,” 2024. [Online]. Available: https://arxiv.org/abs/2405.15589"
191,,2406.05392,,2024,"C. Deng, Y. Duan, X. Jin, H. Chang, Y. Tian, H. Liu, H. P. Zou, Y. Jin et al., “Deconstructing the ethics of large language models from long-standing issues to new-emerging dilemmas,” 2024. [Online]. Available: https://arxiv.org/abs/2406.05392 22"
